,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 160 central park s ',` new york ',74.0,` ralph \ 's diner ',212/484 -5113,french,' 240 central park s. ',` new york city ',74.0,` san domenico ',212-265-5959,italian,1
1,' 160 central park s ',` new york ',38.0,` les celebrites ',212/484 -5113,french,' 240 central park s. ',` new york city ',38.0,` buccaneer bay club ',404-231-5907,italian,1
2,' 160 central park s ',` new york ',74.0,` ralph \ 's diner ',212/484 -5113,french,' 402 w. 44th st. ',` new york city ',74.0,` san domenico ',212-265-5959,italian,1
3,' 160 central park s ',` new york ',38.0,` les celebrites ',212/484 -5113,caribbean,' 240 central park s. ',` new york city ',38.0,` buccaneer bay club ',404-231-5907,italian,1
4,' 160 central park s ',` new york ',501.0,` les celebrites ',702/871 -8826,american,'13 w. 54th st. ',` new york city ',534.0,` san domenico ',212-265-5959,` french ( new ) ',1
5,' 160 central park s ',atlanta,74.0,` ralph \ 's diner ',212/484 -5113,french,' 402 w. 44th st. ',` new york city ',74.0,` san domenico ',212-265-5959,italian,1
6,' 3434 peachtree rd. ',` new york ',38.0,` les celebrites ',212/484 -5113,caribbean,' 240 central park s. ',` new york city ',38.0,` buccaneer bay club ',404-231-5907,italian,1
7,' 160 central park s ',` new york ',501.0,` les celebrites ',702/871 -8826,american,'13 w. 54th st. ',` new york city ',534.0,` san domenico ',310-545-5177,` french ( new ) ',1
8,' 160 central park s ',` las vegas ',90.0,` les celebrites ',404/264 -1334,italian,' 240 central park s. ',` new york city ',90.0,` spago ( los angeles ) ',212-265-5959,italian,1
9,' 4th st. ',atlanta,22.0,bruno,212/484 -5113,french,' 8795 sunset blvd. ',` w. hollywood ',84.0,` san domenico ',212-265-5959,italian,1
