,ltable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_id,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,match,label
0,6,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,230,` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',12,0.00050328183,0
1,22,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22,240,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22,0.9977137,1
2,501,oritalia,' 1915 fillmore st. ',` san francisco ',415/346 -1333,italian,501,214,` trio cafe ',' 1870 fillmore st. ',` san francisco ',415-563-2248,american,749,0.00060836785,0
3,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,300,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,0.0006163688,0
4,76,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,26,` joe \ 's ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560,0.00052616384,0
5,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,23,` jan \ 's family restaurant ',' 8424 beverly blvd. ',la,213-651-2866,` coffee shops ',557,0.00054029963,0
6,83,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,301,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83,0.99773186,1
7,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,0.0005631129,0
8,197,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,0.00064991094,0
9,119,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,82,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,616,0.0005512257,0
10,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.0007102353,0
11,143,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` health food ',140,0,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,0.00050684967,0
12,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,130,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,0.00053472037,0
13,292,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,0.014077028,0
14,42,` les celebrites ',' 160 central park s ',` new york ',212/484 -5113,french,42,275,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,0.0006104908,0
15,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.00082772813,0
16,131,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,233,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,0.0005410918,0
17,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0.0005888352,0
18,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,308,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,0.0005419698,0
19,448,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,125,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,seafood,659,0.00051153084,0
20,84,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,caribbean,84,302,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404-876-0676,eclectic,84,0.99776876,1
21,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,242,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24,0.0005969486,0
