,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,2004 software suite mac apple & mac software,microsoft,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title',)",['microsoft office excel 2007'],['2004 software suite mac apple & mac software'],1,0,0.10268132,0.89731866,2
30,,office 2004 software suite mac apple & mac software,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['office 2004 software suite mac apple & mac software', nan]",1,0,0.01772454,0.9822755,2
29,,office 2004 software suite mac apple & mac software,microsoft,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title',)",['microsoft office excel 2007'],['office 2004 software suite mac apple & mac software'],1,0,0.06947639,0.93052363,2
27,,microsoft microsoft office 2004 software,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['microsoft microsoft office 2004 software', 399.95]",1,0,0.016149992,0.98385,2
26,,microsoft microsoft office 2004 software,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['microsoft microsoft office 2004 software', nan]",1,0,0.08379102,0.916209,2
24,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed 2007 1u,,,"('rtable_title', 'rtable_price')","['microsoft microsoft office 2004 software suite mac apple & mac software', 399.95]","['upgrade 3d for exceed 2007 1u', nan]",1,0,0.019046944,0.98095304,2
23,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed 2007 1u,communications,399.95,"('rtable_title', 'rtable_manufacturer')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan]","['upgrade 3d for exceed 2007 1u', 'communications']",1,0,0.03145057,0.9685495,2
22,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed 2007 1u,,399.95,"('rtable_title',)",['microsoft microsoft office 2004 software suite mac apple & mac software'],['upgrade 3d for exceed 2007 1u'],1,0,0.017694073,0.98230594,2
20,,microsoft microsoft office 2004 software suite,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['microsoft microsoft office 2004 software suite', 399.95]",1,0,0.015960986,0.984039,2
19,,microsoft microsoft office 2004 software suite,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['microsoft microsoft office 2004 software suite', nan]",1,0,0.022999708,0.97700036,2
18,,microsoft microsoft office 2004 software suite,microsoft,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title',)",['microsoft office excel 2007'],['microsoft microsoft office 2004 software suite'],1,0,0.07279667,0.92720336,2
31,,office 2004 software suite mac apple & mac software,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['office 2004 software suite mac apple & mac software', 399.95]",1,0,0.015083967,0.9849161,2
15,,microsoft microsoft office 2004 software suite mac,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['microsoft microsoft office 2004 software suite mac', nan]",1,0,0.019500008,0.9805,2
14,,microsoft microsoft office 2004 software suite mac,microsoft,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title',)",['microsoft office excel 2007'],['microsoft microsoft office 2004 software suite mac'],1,0,0.09437512,0.9056249,2
16,,microsoft microsoft office 2004 software suite mac,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['microsoft microsoft office 2004 software suite mac', 399.95]",1,0,0.015769308,0.9842307,2
12,,microsoft microsoft office 2004,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['microsoft microsoft office 2004', 399.95]",1,0,0.021041648,0.97895837,2
1,,2004 software suite mac apple & mac software,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['2004 software suite mac apple & mac software', nan]",1,0,0.025489062,0.97451097,2
2,,2004 software suite mac apple & mac software,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['2004 software suite mac apple & mac software', 399.95]",1,0,0.014883737,0.9851163,2
4,,microsoft microsoft office 2004 software suite mac apple & mac,microsoft,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title',)",['microsoft office excel 2007'],['microsoft microsoft office 2004 software suite mac apple & mac'],1,0,0.032730438,0.9672696,2
5,,microsoft microsoft office 2004 software suite mac apple & mac,,229.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer')","['microsoft office excel 2007', 'microsoft']","['microsoft microsoft office 2004 software suite mac apple & mac', nan]",1,0,0.017333461,0.9826666,2
6,,microsoft microsoft office 2004 software suite mac apple & mac,microsoft,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_price')","['microsoft office excel 2007', 229.95]","['microsoft microsoft office 2004 software suite mac apple & mac', 399.95]",1,0,0.016555203,0.9834448,2
10,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for,hummingbird communications,399.95,"('rtable_title', 'rtable_manufacturer')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan]","['upgrade 3d for', 'hummingbird communications']",1,0,0.33591157,0.6640884,2
8,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed,hummingbird communications,399.95,"('rtable_title', 'rtable_manufacturer')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan]","['upgrade 3d for exceed', 'hummingbird communications']",1,0,0.032636426,0.96736354,2
21,,microsoft microsoft office 2004 software suite,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['microsoft microsoft office 2004 software suite', nan, 399.95]",1,0,0.014572865,0.98542714,3
7,,microsoft microsoft office 2004 software suite mac apple & mac,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['microsoft microsoft office 2004 software suite mac apple & mac', nan, 399.95]",1,0,0.014738102,0.98526186,3
13,,microsoft microsoft office 2004,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['microsoft microsoft office 2004', nan, 399.95]",1,0,0.028956534,0.9710435,3
9,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed,hummingbird communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan, 399.95]","['upgrade 3d for exceed', 'hummingbird communications', nan]",1,0,0.019819614,0.9801804,3
25,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for exceed 2007 1u,communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan, 399.95]","['upgrade 3d for exceed 2007 1u', 'communications', nan]",1,0,0.01536726,0.98463273,3
3,,2004 software suite mac apple & mac software,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['2004 software suite mac apple & mac software', nan, 399.95]",1,0,0.014488062,0.98551196,3
28,,microsoft microsoft office 2004 software,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['microsoft microsoft office 2004 software', nan, 399.95]",1,0,0.021280697,0.9787193,3
17,,microsoft microsoft office 2004 software suite mac,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['microsoft microsoft office 2004 software suite mac', nan, 399.95]",1,0,0.014607795,0.98539215,3
11,,microsoft office excel 2007,microsoft,229.95,upgrade 3d for,hummingbird communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft microsoft office 2004 software suite mac apple & mac software', nan, 399.95]","['upgrade 3d for', 'hummingbird communications', nan]",1,0,0.083031476,0.9169685,3
32,,office 2004 software suite mac apple & mac software,,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office excel 2007', 'microsoft', 229.95]","['office 2004 software suite mac apple & mac software', nan, 399.95]",1,0,0.013699383,0.9863006,3
