,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,panasonic,panasonic kx-tga670b additional handset for pankxtg6700b,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic', 'panasonic kx-tga670b additional handset for pankxtg6700b']",0.3443610668182373,0.6556389331817627,2
48,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['panasonic kx-tga670b cordless handset', nan]",0.07595318555831909,0.9240468144416809,2
26,panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b'],0.08970475196838379,0.9102952480316162,2
27,panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b,panasonic 5.8 ghz add-on handset for the kxtg6700b 2 line phone system kxtga670b 5.8 ghz digital spread spectrum operation 3-line backlit lcd display on handset 50 caller id memory voice-mail message waiting indicator black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b', 'panasonic 5.8 ghz add-on handset for the kxtg6700b 2 line phone system kxtga670b 5.8 ghz digital spread spectrum operation 3-line backlit lcd display on handset 50 caller id memory voice-mail message waiting indicator black finish']",0.07285618782043457,0.9271438121795654,2
28,panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b', nan]",0.08970475196838379,0.9102952480316162,2
30,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic kx-tga670b cordless handset'],0.07628285884857178,0.9237171411514282,2
31,panasonic kx-tga670b cordless handset,kx-tga670b additional handset for pankxtg6700b,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic kx-tga670b cordless handset', 'kx-tga670b additional handset for pankxtg6700b']",0.06856304407119751,0.9314369559288025,2
32,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['panasonic kx-tga670b cordless handset', nan]",0.07595318555831909,0.9240468144416809,2
34,linksys,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['linksys'],0.051666200160980225,0.9483337998390198,2
23,panasonic kx-tga670b cordless handset,handset for pankxtg6700b,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic kx-tga670b cordless handset', 'handset for pankxtg6700b']",0.07008564472198486,0.9299143552780151,2
35,linksys,linksys etherfast 8-port 10/100 switch ( new/workgroup ),,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['linksys', 'linksys etherfast 8-port 10/100 switch ( new/workgroup )']",0.04261493682861328,0.9573850631713867,2
38,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic kx-tga670b cordless handset'],0.07595318555831909,0.9240468144416809,2
39,panasonic kx-tga670b cordless handset,panasonic,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic kx-tga670b cordless handset', 'panasonic']",0.06736385822296143,0.9326361417770386,2
40,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['panasonic kx-tga670b cordless handset', nan]",0.07595318555831909,0.9240468144416809,2
42,panasonic kx-tga670b cordless,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic kx-tga670b cordless'],0.055286943912506104,0.9447130560874939,2
43,panasonic kx-tga670b cordless,panasonic kx-tga670b additional handset for pankxtg6700b,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic kx-tga670b cordless', 'panasonic kx-tga670b additional handset for pankxtg6700b']",0.03466320037841797,0.965336799621582,2
44,panasonic kx-tga670b cordless,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['panasonic kx-tga670b cordless', nan]",0.055286943912506104,0.9447130560874939,2
46,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic kx-tga670b cordless handset'],0.07595318555831909,0.9240468144416809,2
47,panasonic kx-tga670b cordless handset,additional handset for pankxtg6700b,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_description')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', 'panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish']","['panasonic kx-tga670b cordless handset', 'additional handset for pankxtg6700b']",0.06936359405517578,0.9306364059448242,2
36,linksys,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name', 'ltable_price')","['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t', nan]","['linksys', nan]",0.05548363924026489,0.9445163607597351,2
22,panasonic kx-tga670b cordless handset,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['panasonic kx-tga670b cordless handset'],0.07595318555831909,0.9240468144416809,2
