,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Colorado Mountain Ole 59er Amber Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,"('rtable_Beer_Name',)",['Rock Bottom Orland Park King of Hearts Imperial Red Ale'],['Colorado Mountain Ole 59er Amber Ale'],0.28355357,0.71644646,2
34,Pecan Piewhole,Right Brain Brewery,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","[""Red Shedman 's Imperial Amber Ale"", '57 Brew Pub & Bistro']","['Pecan Piewhole', 'Right Brain Brewery']",0.25134113,0.74865884,2
30,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Broadhead The Amarillo Chainsaw Massacre,Rock Bottom Orland Park,American Strong Ale,5 %,"('rtable_Beer_Name', 'rtable_ABV')","['Rock Bottom Orland Park King of Hearts Imperial Red Ale', '7.60 %']","['Broadhead The Amarillo Chainsaw Massacre', '5 %']",0.49148923,0.50851077,2
29,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Broadhead The Amarillo Chainsaw Massacre,Rock Bottom Orland Park,India Pale Ale &#40; IPA &#41;,7.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Rock Bottom Orland Park King of Hearts Imperial Red Ale', 'American Strong Ale']","['Broadhead The Amarillo Chainsaw Massacre', 'India Pale Ale &#40; IPA &#41;']",0.21137966,0.7886203,2
28,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Broadhead The Amarillo Chainsaw Massacre,Rock Bottom Orland Park,American Strong Ale,7.60 %,"('rtable_Beer_Name',)",['Rock Bottom Orland Park King of Hearts Imperial Red Ale'],['Broadhead The Amarillo Chainsaw Massacre'],0.39827245,0.60172755,2
25,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Cismontane Brewing,American Pale Ale,7.60 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Rock Bottom Orland Park', 'American Strong Ale']","['Cismontane Brewing', 'American Pale Ale']",0.2719551,0.7280449,2
24,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Cismontane Deciduous IPA,Rock Bottom Orland Park,American Pale Ale,7.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Rock Bottom Orland Park King of Hearts Imperial Red Ale', 'American Strong Ale']","['Cismontane Deciduous IPA', 'American Pale Ale']",0.11411748,0.88588256,2
23,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Queens Head Fuggles Red Ale,Rock Bottom Orland Park,Amber Ale,7.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Rock Bottom Orland Park King of Hearts Imperial Red Ale', 'American Strong Ale']","['Queens Head Fuggles Red Ale', 'Amber Ale']",0.48213738,0.5178627,2
17,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Bells Amber Ale,Bells Brewery,American Strong Ale,7.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Rock Bottom Orland Park King of Hearts Imperial Red Ale', 'Rock Bottom Orland Park']","['Bells Amber Ale', 'Bells Brewery']",0.4440243,0.5559758,2
16,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Bells Amber Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,"('rtable_Beer_Name',)",['Rock Bottom Orland Park King of Hearts Imperial Red Ale'],['Bells Amber Ale'],0.43181634,0.56818366,2
