,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom La Jolla,Premium Bitter/ESB,7.60 %,1
1,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,5.00 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,Spice/Herb/Vegetable,7.60 %,1
2,Tongue Buckler ( Bourbon Barrel Aged ),57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,1
3,Main Street Amber Ale,57 Brew Pub & Bistro,American Barleywine,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,1
4,Red Shedman 's Imperial Amber Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Iron Horse Brewery,American Strong Ale,7.60 %,1
5,Elevator Barrel Aged Barley Wine ( Bar Bar ),57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,Imperial IPA,7.60 %,1
6,Honey Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Sawdust City Brewing Company,American Strong Ale,7.60 %,1
7,Red Shedman 's Imperial Amber Ale,Galveston Island Brewing Company,American Amber / Red Ale,7.60 %,Sawdust City Red Rocket Coffee Spiced Stout,Rock Bottom Orland Park,American Strong Ale,7.60 %,1
8,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,Specialty Grain,9.50 %,1
9,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Barleywine,7.60 %,Council Rock Sleeping Lion Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,1
