,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Two Brothers Revelry Imperial Red Ale,Bainbridge Island Brewing Company,Amber Ale,0
1,6.50 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Big Texan Texas Red Amber Ale,Bainbridge Island Brewing Company,Amber Ale,0
2,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Marble Brewery,Amber Ale,0
3,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Baird Red Rose Amber Ale,Bainbridge Island Brewing Company,India Pale Ale &#40; IPA &#41;,0
4,5.40 %,Hop Around Imperial Red Ale,Golden City Brewery,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
5,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,-,Tighthead Barrel Aged Old Kaya Dog Barleywine,Bainbridge Island Brewing Company,Amber Ale,0
6,5.40 %,Green Flash Hop Head Red Ale,Bainbridge Island Brewing Company,American Barleywine,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
7,5.40 %,Amber Ale With Spanish Orange,Big Bay Brewing Co. .,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
8,5.40 %,Red Rock Opie Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Fruit Beer,0
9,5.40 %,Red Toad Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Council Rock Sleeping Lion Red Ale,Bainbridge Island Brewing Company,Amber Ale,0
