,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Red Hopper ( Imperial Red Ale ),Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Arrow Point Amber'],['Red Hopper ( Imperial Red Ale )'],0.7924764007329941,0.20752359926700592,2
312,Mad Anthony Muddy River Amber Ale,Mad Anthony Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Arrow Point Amber', 'Bainbridge Island Brewing Company']","['Mad Anthony Muddy River Amber Ale', 'Mad Anthony Brewing Company']",0.6657654345035553,0.3342345654964447,2
311,Mad Anthony Muddy River Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Arrow Point Amber'],['Mad Anthony Muddy River Amber Ale'],0.6414962112903595,0.3585037887096405,2
306,Raspberry Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.50 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","['Raspberry Red Ale', '5.50 %']",0.7173951268196106,0.2826048731803894,2
305,Raspberry Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Style')","['Arrow Point Amber', 'American Amber / Red Ale']","['Raspberry Red Ale', 'American Amber / Red Ale']",0.5605919659137726,0.4394080340862274,2
304,Raspberry Red Ale,Jack Russell Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Arrow Point Amber', 'Bainbridge Island Brewing Company']","['Raspberry Red Ale', 'Jack Russell Brewing Company']",0.5867812037467957,0.41321879625320435,2
300,No. 03 Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","['No. 03 Amber Ale', '5.00 %']",0.7040838897228241,0.2959161102771759,2
590,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,St. George Fishbones Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('rtable_Beer_Name',)",['Bainbridge Island Arrow Point Amber'],['St. George Fishbones Amber Ale'],0.5725371837615967,0.4274628162384033,2
296,Mistress Jade 's Hemp Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,6.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","[""Mistress Jade 's Hemp Ale"", '6.00 %']",0.6237475574016571,0.3762524425983429,2
313,Mad Anthony Muddy River Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Style')","['Arrow Point Amber', 'American Amber / Red Ale']","['Mad Anthony Muddy River Amber Ale', 'American Amber / Red Ale']",0.6414962112903595,0.3585037887096405,2
591,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,St. George Fishbones Amber Ale,St. George Brewing Company,Amber Ale,5.40 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company']","['St. George Fishbones Amber Ale', 'St. George Brewing Company']",0.6142594218254089,0.38574057817459106,2
592,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,St. George Fishbones Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('rtable_Beer_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Amber Ale']","['St. George Fishbones Amber Ale', 'Amber Ale']",0.5897256135940552,0.4102743864059448,2
288,Yulesmith Summer ( Cask ),Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","['Yulesmith Summer ( Cask )', '8.50 %']",0.5273880362510681,0.4726119637489319,2
593,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,St. George Fishbones Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.20 %,"('rtable_Beer_Name', 'rtable_ABV')","['Bainbridge Island Arrow Point Amber', '5.40 %']","['St. George Fishbones Amber Ale', '5.20 %']",0.8115623742341995,0.18843762576580048,2
283,James Squires Red Handed Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.20 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","['James Squires Red Handed Red Ale', '5.20 %']",0.8767527267336845,0.12324727326631546,2
