,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,hp dss software v. 4.0 complete package t1936aa ua0 ),macsoft,259.95,. mac ( mac ) apple,nan,99.99,0
1,microsoft visual studio professional 2005 upgrade,macsoft,29.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,99.99,0
2,halo ( mac ),macsoft,29.99,diskeeper 2007 professional,apple software,99.99,0
3,quickbooks point-of-sale basic 6.0,macsoft,799.95,. mac ( mac ) apple,nan,99.99,0
4,halo ( mac ),macsoft,29.99,sibelius photoscore professional scanning software music production software,nan,99.99,0
5,microsoft works suite 2006,macsoft,109.95,. mac ( mac ) apple,nan,99.99,0
6,halo ( mac ),macsoft,29.99,diskeeper 2007 professional,nan,35.99,0
7,microsoft visual studio professional 2005 upgrade,macsoft,29.99,. mac ( mac ) apple,punch software,99.99,1
8,quickbooks point-of-sale basic 6.0,macsoft,29.99,. mac ( mac ) apple,nan,99.99,0
9,adobe indesign cs3 upgrade from pagemaker,macsoft,29.99,diskeeper 2007 professional,nan,99.99,0
