,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,'67 n. raymond ave. ',` los angeles ',22.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,667.0,` yujean kang \ 's ',818-585-0855,eclectic,0
1,'67 n. raymond ave. ',atlanta,406.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,chinese,0
2,'67 n. raymond ave. ',` los angeles ',83.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,indian,0
3,'67 n. raymond ave. ',` los angeles ',72.0,` yujean kang \ 's gourmet chinese cuisine ',702/731 -7547,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,chinese,0
4,'67 n. raymond ave. ',` los angeles ',22.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,12.0,citrus,818-585-0855,chinese,0
5,'67 n. raymond ave. ',atlanta,429.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,chinese,0
6,'67 n. raymond ave. ',` los angeles ',443.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',` santa monica ',22.0,` yujean kang \ 's ',818-585-0855,chinese,0
7,'67 n. raymond ave. ',` los angeles ',82.0,` hedgerose heights inn ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,chinese,0
8,'67 n. raymond ave. ',` los angeles ',128.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,22.0,` yujean kang \ 's ',818-585-0855,chinese,0
9,'67 n. raymond ave. ',` los angeles ',22.0,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,asian,'67 n. raymond ave. ',pasadena,71.0,` yujean kang \ 's ',212-223-5656,chinese,0
