,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,the zero latency enterprise,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2002,"('ltable_title',)",['clustering validity checking methods : part ii'],['the zero latency enterprise'],0.656764805316925,0.34323519468307495,2
770,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,objectivity,very large data bases,2002,"('rtable_authors', 'rtable_venue')","['maria halkidi , yannis batistakis , michalis vazirgiannis', 'acm sigmod record']","['objectivity', 'very large data bases']",0.9488261230289936,0.05117387697100639,2
771,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,objectivity,acm sigmod record,1998,"('rtable_authors', 'rtable_year')","['maria halkidi , yannis batistakis , michalis vazirgiannis', 2002]","['objectivity', 1998]",0.9508199319243431,0.04918006807565689,2
772,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"maria halkidi , yannis batistakis , michalis vazirgiannis",very large data bases,1998,"('rtable_venue', 'rtable_year')","['acm sigmod record', 2002]","['very large data bases', 1998]",0.9532967247068882,0.0467032752931118,2
778,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,recent design trade-offs in sql3,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2002,"('rtable_title',)",['cluster validity methods : part i'],['recent design trade-offs in sql3'],0.9074847996234894,0.09251520037651062,2
779,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"nelson mattos , linda g. demichiel",acm sigmod record,2002,"('rtable_authors',)","['maria halkidi , yannis batistakis , michalis vazirgiannis']","['nelson mattos , linda g. demichiel']",0.9231405332684517,0.07685946673154831,2
780,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1994,"('rtable_year',)",[2002],[1994],0.9494345411658287,0.050565458834171295,2
781,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,recent design trade-offs in sql3,"nelson mattos , linda g. demichiel",acm sigmod record,2002,"('rtable_title', 'rtable_authors')","['cluster validity methods : part i', 'maria halkidi , yannis batistakis , michalis vazirgiannis']","['recent design trade-offs in sql3', 'nelson mattos , linda g. demichiel']",0.9476471915841103,0.05235280841588974,2
782,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,recent design trade-offs in sql3,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2002,"('rtable_title', 'rtable_venue')","['cluster validity methods : part i', 'acm sigmod record']","['recent design trade-offs in sql3', 'acm sigmod record']",0.9034440070390701,0.09655599296092987,2
783,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,recent design trade-offs in sql3,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1994,"('rtable_title', 'rtable_year')","['cluster validity methods : part i', 2002]","['recent design trade-offs in sql3', 1994]",0.9507761783897877,0.049223821610212326,2
784,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"nelson mattos , linda g. demichiel",acm sigmod record,2002,"('rtable_authors', 'rtable_venue')","['maria halkidi , yannis batistakis , michalis vazirgiannis', 'acm sigmod record']","['nelson mattos , linda g. demichiel', 'acm sigmod record']",0.9203499779105186,0.07965002208948135,2
785,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"nelson mattos , linda g. demichiel",acm sigmod record,1994,"('rtable_authors', 'rtable_year')","['maria halkidi , yannis batistakis , michalis vazirgiannis', 2002]","['nelson mattos , linda g. demichiel', 1994]",0.9488119184970856,0.05118808150291443,2
786,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",sigmod record,2002,cluster validity methods : part i,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1994,"('rtable_venue', 'rtable_year')","['acm sigmod record', 2002]","['acm sigmod record', 1994]",0.9494345299899578,0.05056547001004219,2
