,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,stationery & office machinery,74109,7443.99,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
1,ep memory,stationery & office machinery,74109,17.13,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
2,nan,usb drives,74109,90.88,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
3,nan,stationery & office machinery,nan,5.54,da-lite high power model b manual screen with csr - 84 x 84 av format electronics - general da-lite 85303 372.99,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
4,nan,stationery & office machinery,74109,23.98,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,119.88,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
5,samsung,stationery & office machinery,74109,nan,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
6,nan,stationery & office machinery,74109,343.99,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
7,nan,stationery & office machinery,74109,56.88,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
8,nan,stationery & office machinery,74109,17.13,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,24.09,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
9,uniden,stationery & office machinery,74109,nan,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,nan,nan,nan,nan,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,1
