,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,'55 e. 54th st. ',` new york ',50.0,oceana,212/759 -5941,seafood,' 155 e. 55th st. ',` santa monica ',7.0,` shun lee palace ',213-931-4223,chinese,1
1,'55 e. 54th st. ',` new york ',84.0,oceana,212/759 -5941,seafood,' 155 e. 55th st. ',` new york city ',22.0,` shun lee palace ',212-371-8844,chinese,1
2,'67 n. raymond ave. ',` new york ',50.0,` pen & pencil ',212/759 -5941,seafood,' 155 e. 55th st. ',` new york city ',7.0,` shun lee palace ',212-371-8844,chinese,1
3,'55 e. 54th st. ',` new york ',50.0,` le perigord ',212/759 -5941,seafood,' 155 e. 55th st. ',` new york city ',7.0,` shun lee palace ',212-371-8844,chinese,1
4,'55 e. 54th st. ',` new york ',50.0,oceana,212/759 -5941,american,' 155 e. 55th st. ',` san francisco ',7.0,` shun lee palace ',212-371-8844,chinese,1
5,'55 e. 54th st. ',` new york ',50.0,oceana,212/759 -5941,seafood,' 155 e. 55th st. ',queens,7.0,` shun lee palace ',212-371-8844,chinese,1
6,'55 e. 54th st. ',` new york ',50.0,oceana,212/759 -5941,american,' 155 e. 55th st. ',` new york city ',7.0,` shun lee palace ',212-371-8844,chinese,1
7,'55 e. 54th st. ',` new york ',50.0,` le perigord ',212/759 -5941,seafood,' 155 e. 55th st. ',` new york city ',7.0,` shun lee palace ',212-371-8844,southwestern,1
8,'55 e. 54th st. ',` new york ',84.0,oceana,212/759 -5941,seafood,' 155 e. 55th st. ',` new york city ',22.0,` shun lee palace ',212-371-8844,scandinavian,1
9,'55 e. 54th st. ',` new york ',50.0,oceana,310/289 -0660,seafood,' 155 e. 55th st. ',` new york city ',7.0,'em eril \ 's new orleans fish house ',212-371-8844,chinese,1
