,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
77,FBF,Fat Bottom Brewing,American Amber / Red Ale,4.50 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_ABV')","['Ruby Red American Ale', '6.10 %']","['FBF', '4.50 %']",0.47360241413116455,0.5263975858688354,2
234,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Ithaca Cascazilla,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('rtable_Beer_Name',)",['Black Shirt American India Red Ale'],['Ithaca Cascazilla'],0.45059090852737427,0.5494090914726257,2
72,Rhinoceros,Fat Bottom Brewing,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Rhinoceros', 'American Barleywine']",0.48797816038131714,0.5120218396186829,2
235,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Ithaca Cascazilla,Ithaca Beer Company,American Strong Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Black Shirt American India Red Ale', 'Black Shirt Brewing Company']","['Ithaca Cascazilla', 'Ithaca Beer Company']",0.4433490037918091,0.5566509962081909,2
236,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Ithaca Cascazilla,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Style')","['Black Shirt American India Red Ale', 'American Strong Ale']","['Ithaca Cascazilla', 'Amber Ale']",0.3507700562477112,0.6492299437522888,2
237,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Ithaca Cascazilla,Black Shirt Brewing Company,American Strong Ale,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Black Shirt American India Red Ale', '7.09 %']","['Ithaca Cascazilla', '7 %']",0.46898967027664185,0.5310103297233582,2
125,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Abbeydale Redemption,Abbeydale,American Strong Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Black Shirt American India Red Ale', 'Black Shirt Brewing Company']","['Abbeydale Redemption', 'Abbeydale']",0.48964476585388184,0.5103552341461182,2
182,Rhumantony,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Rhumantony', 'American Amber / Red Ale']",0.49571526050567627,0.5042847394943237,2
65,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Havannah,Black Shirt Brewing Company,American Strong Ale,5.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['Black Shirt American India Red Ale', '7.09 %']","['Havannah', '5.80 %']",0.28249233961105347,0.7175076603889465,2
64,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Havannah,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Style')","['Black Shirt American India Red Ale', 'American Strong Ale']","['Havannah', 'Amber Ale']",0.2378615140914917,0.7621384859085083,2
184,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Dunham Massey Ruby Sunset,Black Shirt Brewing Company,American Strong Ale,4.10 %,"('rtable_Beer_Name', 'rtable_ABV')","['Black Shirt American India Red Ale', '7.09 %']","['Dunham Massey Ruby Sunset', '4.10 %']",0.4662899374961853,0.5337100625038147,2
63,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Havannah,Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken ),American Strong Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Black Shirt American India Red Ale', 'Black Shirt Brewing Company']","['Havannah', 'Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken )']",0.35793745517730713,0.6420625448226929,2
243,RInkusteinur,Okkara,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['RInkusteinur', 'Okkara']",0.46119916439056396,0.538800835609436,2
