,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5 %,Bainbridge Island Arrow Point Amber,Third Base Sports Bar & Brewery,Amber Ale,1
1,5.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Barleywine,5 %,Bainbridge Island Arrow Point Amber,Granite Falls Brewing Company,Amber Ale,1
2,8.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5 %,Jazz Beer Tarraco Amber,Granite Falls Brewing Company,Amber Ale,0
3,5.70 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,0
4,5.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5 %,Granite Falls Bushfire American Red Ale,Amazon Beer,Imperial IPA,0
5,5.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5 %,Hillcrest Big Red Balls,Granite Falls Brewing Company,Amber Ale,1
6,5.00 %,Bushfire American Red,Scottsdale Beer Company,American Amber / Red Ale,5 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Irish Ale,0
7,5.00 %,Bushfire American Red,Scottsdale Beer Company,American Amber / Red Ale,5 %,Bainbridge Island Arrow Point Amber,Granite Falls Brewing Company,Amber Ale,1
8,5.00 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.80 %,Jazz Beer Tarraco Amber,Granite Falls Brewing Company,Amber Ale,0
9,5.40 %,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.70 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,0
