,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.50 %,Aqula American Amber Ale,Bier Kaffee Aqula,American Barleywine,7.50 %,Bainbridge Island Arrow Point Amber,Heavy Seas Brewing Company,Amber Ale,1
1,4.50 %,Bushfire American Red,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,1
2,4.50 %,Arrow Point Amber,Galveston Island Brewing Company,American Amber / Red Ale,4.50 %,Big Bear Lake Sidewinder Red Ale,Heavy Seas Brewing Company,Amber Ale,1
3,4.50 %,Aqula American Amber Ale,Bier Kaffee Aqula,American Barleywine,7.50 %,Bainbridge Island Arrow Point Amber,Bridge Brewing Company,Amber Ale,1
4,4.50 %,Aqula American Amber Ale,Bier Kaffee Aqula,American Barleywine,7.50 %,Thomas Hooker Old Marley Barleywine,18th Street Brewery,Amber Ale,0
5,4.50 %,Bushfire American Red,Bier Kaffee Aqula,American Amber / Red Ale,5.60 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Irish Ale,1
6,4.50 %,Arrow Point Amber,Galveston Island Brewing Company,American Amber / Red Ale,4.50 %,Big Bear Lake Sidewinder Red Ale,Custom Brewcrafters,Amber Ale,1
7,4.50 %,Ruby Red American Ale,Bier Kaffee Aqula,American Barleywine,7.50 %,Thomas Hooker Old Marley Barleywine,18th Street Brewery,Amber Ale,0
8,6.20 %,Honey Basil Amber,Bier Kaffee Aqula,American Amber / Red Ale,4.90 %,Legends of the Bay Giant_s Tomb,Heavy Seas Brewing Company,Barley Wine,1
9,4.50 %,Good Medicine Strong Red Ale,Bier Kaffee Aqula,American Barleywine,7.50 %,Bainbridge Island Arrow Point Amber,Bridge Brewing Company,Amber Ale,1
