,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,9.20 %,Rocket City Red,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,10 %,Jazz Beer Tarraco Amber,Ballast Point Brewing Company,Imperial IPA,0
1,9.20 %,Rocket City Red,Sky High Brewing,American Amber / Red Ale,10 %,Jazz Beer Tarraco Amber,Ballast Point Brewing Company,Imperial IPA,0
2,4.50 %,Bushfire American Red,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,10 %,Winthrop Double Dry Hopped Amber,Ballast Point Brewing Company,Fruit Beer,0
3,8.10 %,Jazz Beer Tarraco Amber,BJ 's Chicago Pizza & Brewery Inc. .,American Barleywine,10 %,Rude Hippo Honey Basil Amber,Ballast Point Brewing Company,American Strong Ale,0
4,4.50 %,Bushfire American Red,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,4.50 %,Winthrop Double Dry Hopped Amber,Ballast Point Brewing Company,Fruit Beer,1
5,9.20 %,Big Red Balls,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,10 %,Rude Hippo Honey Basil Amber,Ballast Point Brewing Company,Altbier,0
6,9.20 %,Arrow Point Amber,BJ 's Chicago Pizza & Brewery Inc. .,American Barleywine,10 %,Thomas Hooker Old Marley Barleywine,Ballast Point Brewing Company,American Strong Ale,0
7,5.40 %,Rocket City Red,Sky High Brewing,American Amber / Red Ale,10 %,Jazz Beer Tarraco Amber,Ballast Point Brewing Company,Imperial IPA,0
8,4.50 %,Bushfire American Red,Bitter Root Brewing,American Amber / Red Ale,4.50 %,Winthrop Double Dry Hopped Amber,Ballast Point Brewing Company,Fruit Beer,1
9,9.20 %,Twisted Stick Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,9.20 %,Legends of the Bay Giant_s Tomb,Ballast Point Brewing Company,American Strong Ale,0
