,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,0
1,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"l jianzhong , j srivastava , d rotem","acm transactions on database systems ,",2001.0,0
2,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2002.0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,1
3,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,rh silkman,"acm trans . on database systems ,",2001.0,0
4,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"l jianzhong , j srivastava , d rotem","sigmod conference ,",2001.0,0
5,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb j.,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"l jianzhong , j srivastava , d rotem","acm transactions on database systems ,",2001.0,0
6,indexing the positions of continuously moving objects,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,0
7,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","acm trans . on database systems ,",2001.0,0
8,indexing the positions of continuously moving objects,"c kuok , a fu , m wong",vldb j.,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,0
9,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,rh silkman,"acm trans . on database systems ,",2003.0,0
