,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 8783 beverly blvd. ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
1,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` chinois on main ',702-731-7110,` french ( new ) ',1
2,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,italian,' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( classic ) ',1
3,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( classic ) ',1
4,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
5,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` w. hollywood ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
6,' 8783 beverly blvd. ',` las vegas ',70.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` ritz-carlton dining room ( buckhead ) ',702-731-7110,` french ( new ) ',1
7,' 1931 peachtree rd. ',` las vegas ',501.0,` steak house ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',22.0,` palace court ',702-731-7110,` french ( new ) ',1
8,' 2880 las vegas blvd. s ',atlanta,70.0,` bertolini \ 's ',702/734 -0410,` steak houses ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
9,' 2880 las vegas blvd. s ',` las vegas ',70.0,` steak house ',702/734 -0410,french,' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
