,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,25 to 40-inch flat panel tv screens black,tv accessories,orbital,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_title',)",['orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs'],['25 to 40-inch flat panel tv screens black'],1,0,0.00349251,0.99650747,2
26,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,avf,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_brand',)",['orbital'],['avf'],1,0,0.003968617,0.99603134,2
27,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-f,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_modelno',)",['resl422b-e'],['resl422b-f'],1,0,0.0020850354,0.99791497,2
28,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,125.99,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_price',)",[0.0],[125.99],1,0,0.0022868165,0.9977132,2
29,,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat,tv accessories,orbital,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_title',)",['orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs'],['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat'],1,0,0.0013339187,0.99866605,2
30,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv mounts,orbital,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_category',)",['tv accessories'],['tv mounts'],1,0,0.012842863,0.98715717,2
31,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,avf,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_brand',)",['orbital'],['avf'],1,0,0.003968617,0.99603134,2
32,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-f,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_modelno',)",['resl422b-e'],['resl422b-f'],1,0,0.0020850354,0.99791497,2
33,,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,125.99,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_price',)",[0.0],[125.99],1,0,0.0022868165,0.9977132,2
34,,screens black,tv accessories,orbital,resl422b-e,0.0,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,"('ltable_title',)",['orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs'],['screens black'],1,0,0.0020999308,0.9979,2
