,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,outcome
0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,2015 KIDinaKORNER/Interscope Records,3:34,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
1,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",4:29,2-May-14,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
2,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Justin Bieber,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:34,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
3,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:55,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 0.99,2009 Andy Henningsen,3:42,"August 26 , 2011",1
4,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,1-Jun-15,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
5,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Mark Ronson,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:47,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
6,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:23,"December 21 , 2010",1
7,Outversion,David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,15-Sep-09,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
8,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:32,"August 26 , 2011",1
9,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Shinedown,Take Care ( Deluxe Version ),"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,Night Of Your Life ( Feat . Jennifer Hudson ),David Guetta,Nothing But The Beat,Dance & Electronic,$ 1.29,2009 Andy Henningsen,3:42,"August 26 , 2011",1
