,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft powerpoint 2004 ( mac ),adobe,399.0,mcafee internet security suite 2007 3-user ( pc ),nan,413.99,1
1,reel deal casino championship edition,adobe,399.0,adobe cs3 design standard upgrade,nan,413.99,1
2,quicken 2007 basic,adobe,399.0,adobe cs3 design standard upgrade,nan,413.99,1
3,adobe cs3 design standard macosx dvd,apple,399.0,adobe cs3 design standard upgrade,nan,17.24,1
4,microsoft powerpoint 2004 ( mac ),adobe,399.0,musicalis universal guitar workshop,nan,413.99,0
5,adobe cs3 design standard macosx dvd,adobe,1199.0,adobe cs3 design standard upgrade,apple software,413.99,1
6,instant immersion 33 languages,adobe,399.0,adobe cs3 design standard upgrade,riverdeep-learning-company,413.99,1
7,adobe cs3 design standard macosx dvd,adobe,399.0,apple apple mac os x server 10 4 7 10 client,apple software,413.99,1
8,adobe cs3 design standard macosx dvd,microsoft software,399.0,instant immersion 33 languages,nan,413.99,1
9,adobe cs3 design standard macosx dvd,apple,29.99,adobe cs3 design standard upgrade,nan,413.99,1
