,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.60 %,Arrow Point Amber,Fifty West Brewing Co,American Amber / Red Ale,5 %,Bristol Old No. 23 Barley Wine,Two Brothers Brewing Company,Amber Ale,0
1,4.60 %,Arrow Point Amber,Fifty West Brewing Co,American Amber / Red Ale,5 %,Bristol Old No. 23 Barley Wine,Thorn Street Brewery,Amber Ale,0
2,4.60 %,Main Street Amber Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,4.60 %,Hillcrest Big Red Balls,Bridge Brewing Company,Amber Ale,1
3,4.60 %,Arrow Point Amber,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,1
4,4.60 %,Arrow Point Amber,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Legends of the Bay Giant_s Tomb,Thorn Street Brewery,Amber Ale,1
5,4.60 %,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Rude Hippo Honey Basil Amber,Third Base Sports Bar & Brewery,India Pale Ale &#40; IPA &#41;,1
6,4.60 %,Arrow Point Amber,Fifty West Brewing Co,American Amber / Red Ale,4.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,0
7,4.60 %,Arrow Point Amber,Fifty West Brewing Co,American Amber / Red Ale,6.20 %,Bristol Old No. 23 Barley Wine,Thorn Street Brewery,Amber Ale,0
8,4.60 %,Main Street Amber Ale,Edge Brewing Company,American Amber / Red Ale,4.60 %,Bristol Old No. 23 Barley Wine,Custom Brewcrafters,Amber Ale,1
9,4.60 %,Main Street Amber Ale,Edge Brewing Company,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Custom Brewcrafters,Amber Ale,0
