,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,i transfer dvds 2 ipod edition ( win/mac ),final draft,29.99,ghost recon gold edition ( dvd-rom ),nan,83.99,1
1,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,microsoft microsoft office 2004 software suite mac apple & mac software,nan,249.95,1
2,quicken legal business pro 2007,me-too-software,29.99,ghost recon gold edition ( dvd-rom ),nan,20.95,1
3,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,2499.0,microsoft ( r ) money 2007 premium,nan,20.95,1
4,i transfer dvds 2 ipod edition ( win/mac ),intuit,29.99,ghost recon gold edition ( dvd-rom ),nan,20.95,1
5,i transfer dvds 2 ipod edition ( win/mac ),adobe,29.99,ghost recon gold edition ( dvd-rom ),nan,409.52,1
6,i transfer dvds 2 ipod edition ( win/mac ),microsoft,199.99,ghost recon gold edition ( dvd-rom ),nan,20.95,1
7,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,79.99,ghost recon gold edition ( dvd-rom ),nan,17.55,1
8,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,19.99,ghost recon gold edition ( dvd-rom ),apple software,20.95,1
9,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,229.95,web easy ( r ) professional 6,nan,20.95,1
