,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Main Street Amber Ale', 'Fifty West Brewing Co']","['Dock Street Philadelphia Amber', 'Dock Street Brewery & Restaurant']",1,0,0.09423696,0.905763,2
124,,Smugglers Cove Agave Amber,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name',)",['Main Street Amber Ale'],['Smugglers Cove Agave Amber'],1,0,0.06989945,0.9301005,2
125,,Smugglers Cove Agave Amber,Thorn Street Brewery,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Main Street Amber Ale', 'Fifty West Brewing Co']","['Smugglers Cove Agave Amber', 'Thorn Street Brewery']",1,0,0.052857712,0.94714224,2
126,,Smugglers Cove Agave Amber,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Main Street Amber Ale', 'American Amber / Red Ale']","['Smugglers Cove Agave Amber', 'American Amber / Red Ale']",1,0,0.09483481,0.90516526,2
127,,Smugglers Cove Agave Amber,Fifty West Brewing Co,American Amber / Red Ale,6.10 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Main Street Amber Ale', '4.60 %']","['Smugglers Cove Agave Amber', '6.10 %']",1,0,0.058859944,0.94114006,2
128,,Main Street Amber Ale,Thorn Street Brewery,American Amber / Red Ale,6.10 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Fifty West Brewing Co', '4.60 %']","['Thorn Street Brewery', '6.10 %']",1,0,0.40455595,0.5954441,2
133,,Reset,Birrificio Rurale,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Main Street Amber Ale', 'Fifty West Brewing Co']","['Reset', 'Birrificio Rurale']",1,0,0.12599942,0.8740006,2
134,,Main Street Amber Ale,Birrificio Rurale,American Amber / Red Ale,5.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Fifty West Brewing Co', '4.60 %']","['Birrificio Rurale', '5.60 %']",1,0,0.14219657,0.8578034,2
138,,Main Street Amber Ale,Baias Garagardotegia,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Brew_Factory_Name',)",['Fifty West Brewing Co'],['Baias Garagardotegia'],1,0,0.23832592,0.7616741,2
139,,Baias Ambar,Baias Garagardotegia,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Main Street Amber Ale', 'Fifty West Brewing Co']","['Baias Ambar', 'Baias Garagardotegia']",1,0,0.12495083,0.8750492,2
