,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
3,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Kane Hop Lab # 4 - Imperial Red,18th Street Brewery,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Style')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA']","['Kane Hop Lab # 4 - Imperial Red', 'American Strong Ale']",0.29303324,0.70696676,2
7,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Beaverhead Armstead Amber,18th Street Brewery,Amber Lager/Vienna,8.50 %,"('rtable_Beer_Name', 'rtable_Style')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA']","['Beaverhead Armstead Amber', 'Amber Lager/Vienna']",0.43920955,0.5607905,2
0,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Device Derby Gurl American Amber Ale,18th Street Brewery,Amber Ale,5.20 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA', '8.50 %']","['Device Derby Gurl American Amber Ale', 'Amber Ale', '5.20 %']",0.48136395,0.5186361,3
1,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Corralitos Richter Red Ale,18th Street Brewery,Amber Ale,6.60 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA', '8.50 %']","['Corralitos Richter Red Ale', 'Amber Ale', '6.60 %']",0.21118769,0.78881234,3
4,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Kane Hop Lab # 4 - Imperial Red,Kane Brewing Company,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA']","['Kane Hop Lab # 4 - Imperial Red', 'Kane Brewing Company', 'American Strong Ale']",0.16276981,0.8372302,3
5,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Kane Hop Lab # 4 - Imperial Red,18th Street Brewery,American Strong Ale,9.20 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA', '8.50 %']","['Kane Hop Lab # 4 - Imperial Red', 'American Strong Ale', '9.20 %']",0.27938634,0.7206137,3
8,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Beaverhead Armstead Amber,Beaverhead Brewing Company,Amber Lager/Vienna,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA']","['Beaverhead Armstead Amber', 'Beaverhead Brewing Company', 'Amber Lager/Vienna']",0.25060168,0.7493983,3
9,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Beaverhead Armstead Amber,18th Street Brewery,Amber Lager/Vienna,5.70 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', 'Imperial IPA', '8.50 %']","['Beaverhead Armstead Amber', 'Amber Lager/Vienna', '5.70 %']",0.21118237,0.7888176,3
2,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Corralitos Richter Red Ale,Corralitos Brewing Company,Amber Ale,6.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA', '8.50 %']","['Corralitos Richter Red Ale', 'Corralitos Brewing Company', 'Amber Ale', '6.60 %']",0.24245484,0.7575452,4
6,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Kane Hop Lab # 4 - Imperial Red,Kane Brewing Company,American Strong Ale,9.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA', '8.50 %']","['Kane Hop Lab # 4 - Imperial Red', 'Kane Brewing Company', 'American Strong Ale', '9.20 %']",0.15698473,0.84301525,4
10,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Beaverhead Armstead Amber,Beaverhead Brewing Company,Amber Lager/Vienna,5.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA', '8.50 %']","['Beaverhead Armstead Amber', 'Beaverhead Brewing Company', 'Amber Lager/Vienna', '5.70 %']",0.17016853,0.8298315,4
11,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Cambridge Valley Girl,Cambridge Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery', 'Imperial IPA', '8.50 %']","['Cambridge Valley Girl', 'Cambridge Brewing Company', 'Amber Ale', '4.90 %']",0.3879921,0.6120079,4
