,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,5.50 %,18th Street Deal With the Devil Pale Ale,Laurelwood Public House & Brewery,Imperial IPA,8.50 %,1
1,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Baranof Island Brewing Company,Imperial IPA,6 %,1
2,Brewmaster 's Reserve Imperial Red Ale,Bainbridge Island Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,1
3,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Hollywood Beach Red Tide Amber Ale,18th Street Brewery,Imperial IPA,8.50 %,0
4,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Amber / Red Ale,11.90 %,18th Street Deal With the Devil Pale Ale,Big Island Brewhaus,Imperial IPA,8.50 %,1
5,Three Beavers Imperial Red Ale,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,1
6,Brass Ale Honey Amber,57 Brew Pub & Bistro,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,1
7,Inception Series - Runnin ' With The Devil,Green Flash Brewing Co. .,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Riverbend Brewing & Sports Pub,Imperial IPA,8.50 %,1
8,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Big Bear Lake Brewing Company,Imperial IPA,8.50 %,1
9,Big Red Ale,Nebraska Brewing Company,American Barleywine,11.90 %,18th Street Deal With the Devil Pale Ale,Heavy Seas Brewing Company,Imperial IPA,8.50 %,1
