,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Old Credit Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Arrow Point Amber'],['Old Credit Amber Ale'],0.81446403,0.18553603,2
42,Sedation,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Arrow Point Amber'],['Sedation'],0.67321926,0.3267808,2
43,Arrow Point Amber,Institution Ale Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name',)",['Bainbridge Island Brewing Company'],['Institution Ale Company'],0.78582644,0.21417354,2
44,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,4.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_ABV',)",['5.40 %'],['4.00 %'],0.51543754,0.48456252,2
45,Sedation,Institution Ale Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Arrow Point Amber', 'Bainbridge Island Brewing Company']","['Sedation', 'Institution Ale Company']",0.9978752,0.0021247994,2
46,Sedation,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Style')","['Arrow Point Amber', 'American Amber / Red Ale']","['Sedation', 'American Amber / Red Ale']",0.67321926,0.3267808,2
47,Sedation,Bainbridge Island Brewing Company,American Amber / Red Ale,4.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Arrow Point Amber', '5.40 %']","['Sedation', '4.00 %']",0.991657,0.008342963,2
48,Arrow Point Amber,Institution Ale Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Bainbridge Island Brewing Company', 'American Amber / Red Ale']","['Institution Ale Company', 'American Amber / Red Ale']",0.78582644,0.21417354,2
50,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,4.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '5.40 %']","['American Amber / Red Ale', '4.00 %']",0.5154372,0.48456287,2
56,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,The Libertine Pub / ManRock Brewery Amber Sour Mash,Bainbridge Island Brewing Company,Amber Ale,5.40 %,"('rtable_Beer_Name',)",['Bainbridge Island Arrow Point Amber'],['The Libertine Pub / ManRock Brewery Amber Sour Mash'],0.98533535,0.014664702,2
