,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,joss,' 9255 sunset blvd. ',` w. hollywood ',310/276 -1886,` french ( new ) ',7,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` fenix at the argyle '"", ""' 8358 sunset blvd. '"", '213-848-6677']","['joss', ""' 9255 sunset blvd. '"", '310/276 -1886']",1,0,0.12426023,0.87573975,3
1,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,joss,' 8358 sunset blvd. ',` w. hollywood ',310/276 -1886,asian,7,"('rtable_name', 'rtable_phone', 'rtable_res_type')","[""` fenix at the argyle '"", '213-848-6677', ""` french ( new ) '""]","['joss', '310/276 -1886', 'asian']",1,0,0.2935574,0.7064426,3
2,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 9255 sunset blvd. ',`,310/276 -1886,` french ( new ) ',7,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 8358 sunset blvd. '"", ""` w. hollywood '"", '213-848-6677']","[""' 9255 sunset blvd. '"", '`', '310/276 -1886']",1,0,0.32011345,0.6798866,3
3,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 9255 sunset blvd. ',` w. hollywood ',310/276 -1886,` french ( new ) ',143,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 8358 sunset blvd. '"", '213-848-6677', 7]","[""' 9255 sunset blvd. '"", '310/276 -1886', 143]",1,0,0.32112786,0.67887217,3
10,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 9255 sunset blvd. ',` w. hollywood ',310/276 -1886,asian,143,"('rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""' 8358 sunset blvd. '"", '213-848-6677', ""` french ( new ) '"", 7]","[""' 9255 sunset blvd. '"", '310/276 -1886', 'asian', 143]",1,0,0.025835244,0.9741648,4
9,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 9255 sunset blvd. ',`,310/276 -1886,` french ( new ) ',143,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_class')","[""' 8358 sunset blvd. '"", ""` w. hollywood '"", '213-848-6677', 7]","[""' 9255 sunset blvd. '"", '`', '310/276 -1886', 143]",1,0,0.0842936,0.9157064,4
7,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,joss,' 8358 sunset blvd. ',` w. hollywood ',310/276 -1886,asian,143,"('rtable_name', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` fenix at the argyle '"", '213-848-6677', ""` french ( new ) '"", 7]","['joss', '310/276 -1886', 'asian', 143]",1,0,0.1547049,0.84529513,4
8,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 9255 sunset blvd. ',`,310/276 -1886,asian,7,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_res_type')","[""' 8358 sunset blvd. '"", ""` w. hollywood '"", '213-848-6677', ""` french ( new ) '""]","[""' 9255 sunset blvd. '"", '`', '310/276 -1886', 'asian']",1,0,0.048814476,0.9511855,4
5,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,joss,' 9255 sunset blvd. ',` w. hollywood ',310/276 -1886,asian,7,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` fenix at the argyle '"", ""' 8358 sunset blvd. '"", '213-848-6677', ""` french ( new ) '""]","['joss', ""' 9255 sunset blvd. '"", '310/276 -1886', 'asian']",1,0,0.03314982,0.9668502,4
4,,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,joss,' 9255 sunset blvd. ',`,310/276 -1886,` french ( new ) ',7,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` fenix at the argyle '"", ""' 8358 sunset blvd. '"", ""` w. hollywood '"", '213-848-6677']","['joss', ""' 9255 sunset blvd. '"", '`', '310/276 -1886']",1,0,0.03732055,0.9626795,4
