,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",nan,nan,2001.0,merging ranks from heterogeneous internet sources very large data bases,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,1997.0,0
1,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",nan,nan,2001.0,merging ranks from heterogeneous internet sources very large data bases,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1997.0,0
2,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000","mike p. papazoglou , bernd j. krämer",nan,2001.0,merging ranks from heterogeneous internet sources very large data bases,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1997.0,0
3,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,nan,1996.0,coss : the common object services specifications bruce e. martin international conference on management of data,"luis gravano , hector garcia-molina",international conference on management of data,1998.0,1
4,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000","mike p. papazoglou , bernd j. krämer",vldb,2001.0,merging ranks from heterogeneous internet sources very large data bases,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1997.0,0
5,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,nan,1996.0,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997","luis gravano , hector garcia-molina",international conference on management of data,1995.0,0
6,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000","mike p. papazoglou , bernd j. krämer",vldb,nan,merging ranks from heterogeneous internet sources very large data bases,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1997.0,0
7,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,sigmod conference,1996.0,coss : the common object services specifications bruce e. martin international conference on management of data,"luis gravano , hector garcia-molina",international conference on management of data,1998.0,0
8,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",luca cardelli,nan,1996.0,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997","luis gravano , hector garcia-molina",international conference on management of data,1995.0,0
9,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,vldb,2001.0,observations on the odmg-93 proposal for an object-oriented database language,"luis gravano , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994.0,0
