,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,uniden,electronics - general,d1680,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,tricool 120mm,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
1,uniden,electronics - general,f8n132-blk,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,nan,nan,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
2,uniden,electronics - general,d1680,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,q3675a,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
3,uniden,printers,d1680,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,1252972,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
4,uniden,electronics - general,q3675a,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,hx-mta64da / g32,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
5,uniden,digital cameras,d1680,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,nan,102.24,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
6,uniden,electronics - general,nan,nan,lexmark e450h11a toner 11000 page-yield black printers e450h11a,uniden,cordless telephones,nan,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
7,uniden,electronics - general,pa50250u5yr,343.99,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,nan,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
8,uniden,electronics - general,d1680,239.88,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,01g-p3-1452-tr,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
9,accell,electronics - general,d1680,nan,uniden d1680 dect 6.0 with caller id and call waiting 33.84,uniden,cordless telephones,a362-12cp,24.09,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
