,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",acm trans . database syst .,2002.0,"university of illinois , urbana",w kimâ ? ¦,"ph. d. , university of california , santa",nan,0
1,database research at arizona state university,"m winslett , k chang , a doan , j han , c zhai , y zhou",vldb j.,2002.0,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",nan,0
2,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",nan,2002.0,"university of illinois , urbana",w kimâ ? ¦,nan,nan,0
3,database research at the university of illinois at urbana-champaign,b hammond,sigmod record,2002.0,"university of illinois , urbana",w kimâ ? ¦,"ph. d. , university of california , santa",nan,0
4,database research at arizona state university,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002.0,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",1997.0,0
5,dyda : data warehouse maintenance in fully concurrent environments,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,1999.0,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",1980.0,1
6,database research at arizona state university,"m winslett , k chang , a doan , j han , c zhai , y zhou",vldb,2002.0,"university of illinois , urbana","s ramaswamy , s mahajan , a silberschatz","ph. d. , university of california , santa",nan,0
7,database research at the university of illinois at urbana-champaign,"s urban , s dietrich , f golshani",sigmod record,2002.0,"university of illinois , urbana",w kimâ ? ¦,"ph. d. , university of california , santa",1999.0,1
8,database research at arizona state university,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002.0,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",nan,0
9,database research at arizona state university,"m winslett , k chang , a doan , j han , c zhai , y zhou",vldb j.,2002.0,"university of illinois , urbana","jm hellerstein , jf naughton , a pfeffer","ph. d. , university of california , santa",nan,0
