,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,american,22.0,1
1,` bertolini \ 's ',' 405 e. 52nd st. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22.0,1
2,` le perigord ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22.0,1
3,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,702-894-7111,chinese,667.0,1
4,dive !,'67 n. raymond ave. ',` los angeles ',818/585 -0855,californian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22.0,1
5,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ',' 3300 las vegas blvd. s. ',pasadena,818-585-0855,chinese,60.0,1
6,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` san francisco ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,` pacific new wave ',22.0,1
7,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` san francisco ',818/585 -0855,asian,22.0,abruzzi,'67 n. raymond ave. ',pasadena,818-585-0855,chinese,22.0,0
8,` yujean kang \ 's gourmet chinese cuisine ',' 129 e. fremont st. ',` los angeles ',818/585 -0855,asian,22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22.0,1
9,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` health food ',22.0,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,404-261-8186,chinese,22.0,1
