,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,arrowmounts,pvr135h1,180.0,accell ultraav b101b-003b display port with vga active adapter,tv mounts,arrowmounts,q3675a,24.09,0
1,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,kingston,hx-mta64da / g42,4612.99,accell ultraav b101b-003b display port with vga active adapter,scanners,arrowmounts,bv8966b,7.53,0
2,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,electronics - general,arrowmounts,am-p16b,56.88,pny 4gb class 4 navy sd card,tv mounts,arrowmounts,nan,149.29,0
3,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,tv accessories,arrowmounts,am-p16b,39.99,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,tv mounts,ifrogz,tricool 120mm,nan,0
4,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,arrowmounts,pvr135h1,180.0,accell ultraav b101b-003b display port with vga active adapter,tv mounts,arrowmounts,nan,24.09,0
5,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,arrowmounts,dct6s,24.94,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,tv mounts,antec,bv8966b,119.88,1
6,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,clickfree,dct6s,24.94,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,tv mounts,antec,bv8966b,119.88,1
7,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,electronics - general,arrowmounts,am-p16b,56.88,pny 4gb class 4 navy sd card,blank media,arrowmounts,57y4167,149.29,0
8,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,tv accessories,arrowmounts,am-p16b,39.99,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,tv mounts,arrowmounts,nan,64.24,0
9,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,printers,canon,am-p16b,22.92,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,tv mounts,apc,tricool 120mm,11.19,0
