,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 1510 e. flamingo rd. ',` las vegas ',162.0,` le dome ',702/791 -7111,` dive american ',' 103 w. paces ferry rd. ',` w. hollywood ',74.0,` monte carlo ',702-733-4524,` french ( new ) ',1
1,' 3400 las vegas blvd. s ',` san francisco ',38.0,` mandarin court ',212/688 -4190,international,' 3145 las vegas blvd. s. ',pasadena,84.0,` palace court ',702-733-4524,` french ( new ) ',1
2,' 1510 e. flamingo rd. ',` las vegas ',162.0,` le dome ',702/791 -7111,continental,' 103 w. paces ferry rd. ',` w. hollywood ',74.0,` monte carlo ',702-733-4524,` french ( new ) ',1
3,' 3400 las vegas blvd. s ',atlanta,162.0,bistro,310/276 -1886,continental,' 3145 las vegas blvd. s. ',atlanta,534.0,` monte carlo ',702-733-4524,continental,0
4,' 3130 piedmont road ',` los angeles ',84.0,bistro,404/876 -4408,continental,' 3145 las vegas blvd. s. ',` new york city ',22.0,` monte carlo ',404-237-2700,seafood,1
5,' 240 e. 58th st. ',` las vegas ',22.0,bistro,404/876 -4408,american,' 8393 w. beverly blvd. ',pasadena,74.0,felidia,212-752-1495,` french ( new ) ',1
6,' 405 e. 52nd st. ',` las vegas ',84.0,bistro,702/791 -7111,caribbean,' 1397 n. highland ave. ',` las vegas ',20.0,` heera of india ',702-733-4524,` french ( new ) ',1
7,' 1510 e. flamingo rd. ',` las vegas ',162.0,` le dome ',702/791 -7111,continental,' 3145 las vegas blvd. s. ',` w. hollywood ',74.0,` monte carlo ',702-733-4524,` french ( new ) ',1
8,' 129 e. fremont st. ',` las vegas ',74.0,abruzzi,702/791 -7111,continental,' 3145 las vegas blvd. s. ',pasadena,22.0,moongate,702-733-4524,` coffee shops ',1
9,' 405 e. 52nd st. ',atlanta,84.0,bistro,702/791 -7111,caribbean,' 1397 n. highland ave. ',` las vegas ',20.0,` heera of india ',404-233-5993,` french ( new ) ',1
