,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft visio standard 2007,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,nan,12.9,1
1,musicalis guitar workshop,microsoft,259.95,microsoft money 2007 home and business ( pc ),nan,400.34,1
2,microsoft visio standard 2007,microsoft,259.95,apple software m9372z/a final cut express 2.0 upgrade,nan,400.34,1
3,microsoft visio standard 2007,microsoft,1799.0,microsoft w87-02380 office sbe 2007 win32,nan,413.99,1
4,microsoft visio standard 2007,microsoft,259.95,. mac ( mac ) apple,nan,24.58,1
5,microsoft visio standard 2007,microsoft,799.95,musicalis universal guitar workshop,nan,400.34,1
6,microsoft visio standard 2007,steinberg,259.95,microsoft w87-02380 office sbe 2007 win32,apple software,400.34,1
7,microsoft visio standard 2007,microsoft,259.95,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,400.34,0
8,microsoft visio standard 2007,microsoft,259.95,migo software digital file shredder 2005,nan,808.15,1
9,microsoft visio standard 2007,steinberg,259.95,quickbooks ( r ),nan,400.34,1
