,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,24.99,topics entertainment instant immersion ingles audio deluxe,sibelius-software-ltd .,179.95,1
1,sony acid pro 6 professional music workstation,microsoft,499.95,sibelius photoscore professional scanning software music production software,punch software,179.95,1
2,sony acid pro 6 professional music workstation,topics entertainment,499.95,microsoft w87-02380 office sbe 2007 win32,sibelius-software-ltd .,179.95,1
3,sony acid pro 6 professional music workstation,microsoft licenses,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,1
4,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,79.99,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,sibelius-software-ltd .,179.95,1
5,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,quickbooks pro 2007 3 user,sibelius-software-ltd .,85.95,1
6,professional home design suite platinum,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,1
7,punch ! master landscape & home design,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,global-software-publishing,179.95,1
8,learning quickbooks 2007,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,punch software,179.95,1
9,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,apple software,409.52,0
