,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,professional scanning software music production software,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title',)",['sony acid pro 6 professional music workstation'],['professional scanning software music production software'],0.075313896,0.9246861,2
15,scanning software music production software,sibelius-software-ltd .,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment']","['scanning software music production software', 'sibelius-software-ltd .']",0.332616,0.667384,2
14,scanning software music production software,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title',)",['sony acid pro 6 professional music workstation'],['scanning software music production software'],0.13221723,0.8677828,2
12,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,sony media software acid pro 5 music production software,sibelius-software-ltd .,199.95,"('rtable_title', 'rtable_price')","['sibelius photoscore professional scanning software music production software', 179.95]","['sony media software acid pro 5 music production software', 199.95]",0.40368408,0.596316,2
10,photoscore professional scanning software music production software,sony-pictures-digital-entertainment,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_price')","['sony acid pro 6 professional music workstation', 499.95]","['photoscore professional scanning software music production software', 179.95]",0.027234694,0.9727653,2
9,photoscore professional scanning software music production software,sibelius-software-ltd .,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment']","['photoscore professional scanning software music production software', 'sibelius-software-ltd .']",0.12065574,0.8793442,2
16,scanning software music production software,sony-pictures-digital-entertainment,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_price')","['sony acid pro 6 professional music workstation', 499.95]","['scanning software music production software', 179.95]",0.09779966,0.90220034,2
8,photoscore professional scanning software music production software,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title',)",['sony acid pro 6 professional music workstation'],['photoscore professional scanning software music production software'],0.075313896,0.9246861,2
6,sibelius photoscore professional scanning software music production software,sony-pictures-digital-entertainment,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_price')","['sony acid pro 6 professional music workstation', 499.95]","['sibelius photoscore professional scanning software music production software', 179.95]",0.023767468,0.9762325,2
5,sibelius photoscore professional scanning software music production software,.,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment']","['sibelius photoscore professional scanning software music production software', '.']",0.091703944,0.90829605,2
4,sibelius photoscore professional scanning software music production software,sony-pictures-digital-entertainment,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title',)",['sony acid pro 6 professional music workstation'],['sibelius photoscore professional scanning software music production software'],0.072506405,0.9274936,2
2,professional scanning software music production software,sony-pictures-digital-entertainment,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_price')","['sony acid pro 6 professional music workstation', 499.95]","['professional scanning software music production software', 179.95]",0.027234681,0.9727653,2
1,professional scanning software music production software,sibelius-software-ltd .,499.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment']","['professional scanning software music production software', 'sibelius-software-ltd .']",0.12065579,0.8793442,2
11,photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment', 499.95]","['photoscore professional scanning software music production software', 'sibelius-software-ltd .', 179.95]",0.022500392,0.97749954,3
3,professional scanning software music production software,sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment', 499.95]","['professional scanning software music production software', 'sibelius-software-ltd .', 179.95]",0.022500398,0.97749954,3
13,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,sony media software acid pro 5 music production software,,199.95,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['sibelius photoscore professional scanning software music production software', 'sibelius-software-ltd .', 179.95]","['sony media software acid pro 5 music production software', nan, 199.95]",0.48614946,0.5138505,3
7,sibelius photoscore professional scanning software music production software,.,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment', 499.95]","['sibelius photoscore professional scanning software music production software', '.', 179.95]",0.0231785,0.9768215,3
17,scanning software music production software,sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['sony acid pro 6 professional music workstation', 'sony-pictures-digital-entertainment', 499.95]","['scanning software music production software', 'sibelius-software-ltd .', 179.95]",0.10648521,0.89351475,3
