,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Peter Bs Dr. Strangelove,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,6.10 %,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['Peter Bs Dr. Strangelove', '6.10 %']",0.4259546995162964,0.5740453004837036,2
155,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Ithaca Cascazilla,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['Ithaca Cascazilla', '7 %']",0.41357314586639404,0.586426854133606,2
330,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Coaticook La Maplehurst,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,-,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['Coaticook La Maplehurst', '-']",0.49970924854278564,0.5002907514572144,2
328,Deveiled,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Deveiled', 'American Amber / Red Ale']",0.43999427556991577,0.5600057244300842,2
327,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,6.10 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['Deveiled', 'Magic Hat Brewing Company']",0.4304320216178894,0.5695679783821106,2
326,Deveiled,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,"('ltable_Beer_Name',)",['Ruby Red American Ale'],['Deveiled'],0.43999427556991577,0.5600057244300842,2
163,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Birdland Kewlerskald,Birdland Brewing Company,Amber Ale,5 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Genesee Brew House American Red Ale', 'Genesee Brewing Company &#40; North American Breweries &#41;']","['Birdland Kewlerskald', 'Birdland Brewing Company']",0.4893144965171814,0.5106855034828186,2
164,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Birdland Kewlerskald,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,6 %,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['Birdland Kewlerskald', '6 %']",0.48773592710494995,0.51226407289505,2
322,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,21st Amendment Red Dwarf,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,7.10 %,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['21st Amendment Red Dwarf', '7.10 %']",0.4127689003944397,0.5872310996055603,2
169,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,7 Barrios Amber,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.10 %,"('rtable_Beer_Name', 'rtable_ABV')","['Genesee Brew House American Red Ale', '5 %']","['7 Barrios Amber', '5.10 %']",0.3064156770706177,0.6935843229293823,2
