,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 9255 sunset blvd. ',` los angeles ',50.0,joss,310/276 -1886,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
1,' 9255 sunset blvd. ',` los angeles ',37.0,joss,310/276 -1886,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
2,' 9255 sunset blvd. ',` los angeles ',50.0,joss,310/276 -1886,asian,' 8358 sunset blvd. ',` san francisco ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
3,'55 e. 54th st. ',` los angeles ',50.0,` mandarin court ',310/276 -1886,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
4,' 9255 sunset blvd. ',` los angeles ',437.0,` hedgerose heights inn ',310/276 -1886,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` heera of india ',213-848-6677,` french ( new ) ',1
5,' 9255 sunset blvd. ',` los angeles ',37.0,joss,702/871 -8826,continental,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
6,' 9255 sunset blvd. ',` los angeles ',37.0,joss,702/871 -8826,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
7,'55 e. 54th st. ',` los angeles ',50.0,joss,310/276 -1886,asian,' 8358 sunset blvd. ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
8,' 3000 las vegas blvd. s ',` los angeles ',50.0,joss,310/276 -1886,asian,' 2355 peachtree rd. ne ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
9,' 9255 sunset blvd. ',` los angeles ',50.0,joss,310/276 -1886,asian,' 2355 peachtree rd. ne ',` w. hollywood ',7.0,` fenix at the argyle ',213-848-6677,` french ( new ) ',1
