,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Blue Bridge Amber Dry Hopped,Capitol City Brewing,American Amber / Red Ale,5.30 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
1,Amber Waves Ale,Phillips Brewing Company,American Amber / Red Ale,5.40 %,Granite Falls Bushfire American Red Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
2,Bushfire American Red,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Altbier,5.60 %,1
3,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,8.70 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
4,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.80 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.70 %,1
5,Elevator Barrel Aged Barley Wine ( Bar Bar ),Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Premium Bitter/ESB,5.60 %,1
6,Amber Waves Ale,Smuttynose Brewing Company,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
7,Amber Waves Ale,Big Bay Brewing Co. .,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Spice/Herb/Vegetable,5.60 %,1
8,Amber Waves Ale,Capitol City Brewing,American Barleywine,5.40 %,Capitol City Amber Waves Ale,Iron Horse Brewery,Amber Ale,5.60 %,1
9,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,8.10 %,Hollywood Beach Red Tide Amber Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
