,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,Amber Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company']","['Big Storm Wavemaker Amber Ale', 'Big Storm Brewing Company']",0.4969096,0.5030905,2
4,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company,Amber Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company']","['Feather Falls Coyote Spirit Amber Ale', 'Feather Falls Brewing Company']",0.42928842,0.5707116,2
8,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Berthoud Brewing Company,Amber Ale,5.60 %,"('rtable_Brew_Factory_Name',)",['Capitol City Brewing Company'],['Berthoud Brewing Company'],0.45666072,0.5433393,2
9,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Berthoud Brewing Company,Amber Ale,5.60 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Capitol City Brewing Company', 'Amber Ale']","['Berthoud Brewing Company', 'Amber Ale']",0.45666072,0.5433393,2
10,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Bethlehem Brew Works Knuckleball,Capitol City Brewing Company,American Pale Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Capitol City Amber Waves Ale', 'Amber Ale']","['Bethlehem Brew Works Knuckleball', 'American Pale Ale']",0.39513654,0.60486346,2
1,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,Amber Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', 'Amber Ale']","['Big Storm Wavemaker Amber Ale', 'Big Storm Brewing Company', 'Amber Ale']",0.4969096,0.5030905,3
2,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,Amber Ale,5.80 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', '5.60 %']","['Big Storm Wavemaker Amber Ale', 'Big Storm Brewing Company', '5.80 %']",0.49476272,0.50523734,3
5,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company,Amber Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', 'Amber Ale']","['Feather Falls Coyote Spirit Amber Ale', 'Feather Falls Brewing Company', 'Amber Ale']",0.42928842,0.5707116,3
6,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company,Amber Ale,4.25 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', '5.60 %']","['Feather Falls Coyote Spirit Amber Ale', 'Feather Falls Brewing Company', '4.25 %']",0.26404908,0.73595095,3
11,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Bethlehem Brew Works Knuckleball,Capitol City Brewing Company,American Pale Ale,4.20 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['Capitol City Amber Waves Ale', 'Amber Ale', '5.60 %']","['Bethlehem Brew Works Knuckleball', 'American Pale Ale', '4.20 %']",0.2582019,0.74179816,3
3,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,Amber Ale,5.80 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', 'Amber Ale', '5.60 %']","['Big Storm Wavemaker Amber Ale', 'Big Storm Brewing Company', 'Amber Ale', '5.80 %']",0.49476272,0.50523734,4
7,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company,Amber Ale,4.25 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['Capitol City Amber Waves Ale', 'Capitol City Brewing Company', 'Amber Ale', '5.60 %']","['Feather Falls Coyote Spirit Amber Ale', 'Feather Falls Brewing Company', 'Amber Ale', '4.25 %']",0.26404908,0.73595095,4
