,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,Fetty Wap ( Deluxe ),Calvin Harris,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,0
1,Rolling Papers,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Live At Carnegie Hall [ Explicit ],David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
2,Flight School,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,"April 18 , 2011",Nothin ' On You [ Feat . Bruno Mars ],3:25,1
3,Fetty Wap ( Deluxe ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
4,Nothing But the Beat,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
5,Anything Goes,David Guetta,"2011 What A Music Ltd , Licence exclusive Parlophone Music France","Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
6,True Colors,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
7,One Love ( Deluxe Version ),David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Outversion,2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,"June 22 , 2012",Nothin ' On You [ Feat . Bruno Mars ],3:25,1
8,Leave a Whisper,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Rap & Hip-Hop , Southern Rap , Pop Rap",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
9,Here 's to the Good Times,Mark Ronson,2010 Gum Prod licence exclusive Parlophone Music France,"Dance , Music",$ 1.29,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],2:51,Pop Love,David Guetta,2012 Blue Drum Records,"Dance & Electronic , House",$ 1.29,nan,Nothin ' On You [ Feat . Bruno Mars ],3:25,1
