,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Ambah Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name',)",['Real McCoy Amber Ale'],['Ambah Ale'],0,0,0.69130325,0.30869675,2
510,,Wiltse 's Paul Bunyan Ale,Mammoth Brewing Company,American Amber / Red Ale,-,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Real McCoy Amber Ale', '4.50 %']","[""Wiltse 's Paul Bunyan Ale"", '-']",0,0,0.8585541,0.14144588,2
511,,Real McCoy Amber Ale,Wiltse 's Brew Pub and Family Restaurant,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Mammoth Brewing Company', 'American Amber / Red Ale']","[""Wiltse 's Brew Pub and Family Restaurant"", 'American Amber / Red Ale']",0,0,0.5519159,0.44808415,2
512,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,-,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '4.50 %']","['American Amber / Red Ale', '-']",0,0,0.98072195,0.019278042,2
920,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Phillips Brewing Co. .,Altbier,10 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Mammoth Brewing Company', '4.50 %']","['Phillips Brewing Co. .', '10 %']",0,0,0.6844584,0.31554168,2
919,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Phillips Brewing Co. .,Barley Wine,4.50 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Mammoth Brewing Company', 'Altbier']","['Phillips Brewing Co. .', 'Barley Wine']",0,0,0.65911883,0.34088114,2
918,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Phillips Trainwreck Barley Wine,Phillips Brewing Co. .,Altbier,4.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Phillips Trainwreck Barley Wine', 'Phillips Brewing Co. .']",0,0,0.75912905,0.24087094,2
917,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Phillips Brewing Co. .,Altbier,4.50 %,"('rtable_Brew_Factory_Name',)",['Mammoth Brewing Company'],['Phillips Brewing Co. .'],0,0,0.79353946,0.20646052,2
518,,Real McCoy Amber Ale,MadTree Brewing,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Brew_Factory_Name',)",['Mammoth Brewing Company'],['MadTree Brewing'],0,0,0.8614413,0.13855863,2
519,,Real McCoy Amber Ale,Mammoth Brewing Company,American Barleywine,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Barleywine'],0,0,0.6772277,0.32277235,2
520,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,-,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_ABV',)",['4.50 %'],['-'],0,0,0.94475967,0.055240348,2
521,,BBA Ye Old Battering Ram,Mammoth Brewing Company,American Barleywine,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_Style')","['Real McCoy Amber Ale', 'American Amber / Red Ale']","['BBA Ye Old Battering Ram', 'American Barleywine']",0,0,0.5463537,0.45364633,2
522,,Real McCoy Amber Ale,MadTree Brewing,American Barleywine,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Mammoth Brewing Company', 'American Amber / Red Ale']","['MadTree Brewing', 'American Barleywine']",0,0,0.92384994,0.07615013,2
523,,Real McCoy Amber Ale,MadTree Brewing,American Amber / Red Ale,-,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Mammoth Brewing Company', '4.50 %']","['MadTree Brewing', '-']",0,0,0.9667173,0.03328275,2
524,,Real McCoy Amber Ale,Mammoth Brewing Company,American Barleywine,-,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '4.50 %']","['American Barleywine', '-']",0,0,0.9135921,0.08640787,2
527,,Orion 's Quest Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name',)",['Real McCoy Amber Ale'],"[""Orion 's Quest Red Ale""]",0,0,0.8666264,0.13337359,2
528,,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0,0,0.8696618,0.13033825,2
529,,Orion 's Quest Red Ale,Kassik 's Kenai Brew Stop,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Real McCoy Amber Ale', 'Mammoth Brewing Company']","[""Orion 's Quest Red Ale"", ""Kassik 's Kenai Brew Stop""]",0,0,0.83237725,0.16762279,2
530,,Orion 's Quest Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_Style')","['Real McCoy Amber Ale', 'American Amber / Red Ale']","[""Orion 's Quest Red Ale"", 'American Amber / Red Ale']",0,0,0.93127817,0.06872183,2
531,,Orion 's Quest Red Ale,Mammoth Brewing Company,American Amber / Red Ale,6.80 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Real McCoy Amber Ale', '4.50 %']","[""Orion 's Quest Red Ale"", '6.80 %']",0,0,0.71554846,0.28445157,2
509,,Wiltse 's Paul Bunyan Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,"('ltable_Beer_Name', 'ltable_Style')","['Real McCoy Amber Ale', 'American Amber / Red Ale']","[""Wiltse 's Paul Bunyan Ale"", 'American Amber / Red Ale']",0,0,0.94024897,0.059751023,2
