,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.60 %,Rocket City Red,Nebraska Brewing Company,American Barleywine,5.60 %,Hollywood Beach Red Tide Amber Ale,Rock Bottom La Jolla,Amber Ale,1
1,5.60 %,Unite Red Rye Ale,Great Storm Brewing Co. .,American Amber / Red Ale,5.40 %,Hillcrest Big Red Balls,Lompoc Brewing,Amber Ale,0
2,5.60 %,Big Red Balls,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,7.40 %,Bainbridge Island Arrow Point Amber,Big Island Brewhaus,India Pale Ale &#40; IPA &#41;,1
3,5.60 %,Big Red Balls,The Pike Brewing Company,American Amber / Red Ale,5.60 %,Marble Imperial Red Ale,Rock Bottom La Jolla,Amber Ale,1
4,5.60 %,Pike Old Bawdy Barley Wine,Rock Bottom Restaurant & Brewery,American Barleywine,6.90 %,Thomas Hooker Old Marley Barleywine,23rd Street Brewery,Amber Ale,0
5,5.60 %,Bushfire American Red,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rude Hippo Honey Basil Amber,Rock Bottom La Jolla,Specialty Grain,1
6,5.60 %,Big Red Balls,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,7.40 %,Bainbridge Island Arrow Point Amber,Rock Bottom La Jolla,India Pale Ale &#40; IPA &#41;,1
7,5.60 %,Bushfire American Red,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rude Hippo Honey Basil Amber,Rock Bottom La Jolla,Amber Ale,1
8,5.60 %,Rocket City Red,Rock Bottom Restaurant & Brewery,American Barleywine,5.60 %,Hollywood Beach Red Tide Amber Ale,Rock Bottom La Jolla,Amber Ale,1
9,5.60 %,Big Red Balls,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,7.40 %,Bainbridge Island Arrow Point Amber,Rock Bottom La Jolla,Amber Ale,1
