,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,draper flexible matte white cinefold replacement surface portable screen - 10 6 x 14 ntsc format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,,2608.99,"('ltable_title',)",['da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format'],['draper flexible matte white cinefold replacement surface portable screen - 10 6 x 14 ntsc format'],0,0,0.90201586,0.09798411,2
26,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,95145,2608.99,"('rtable_modelno',)",[nan],['95145'],0,0,0.9998981,0.0001019275,2
27,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,,34.98,"('rtable_price',)",[2608.99],[34.98],0,0,0.500346,0.49965397,2
28,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,b230-m voyager pro uc v2 moc bt 38884-01,projection screens,da-lite,,2608.99,"('rtable_title',)",['da-plex base rear projection screen - 57 3 4 x 77 video format'],['b230-m voyager pro uc v2 moc bt 38884-01'],0,0,0.9997838,0.00021624078,2
29,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,computers accessories,da-lite,,2608.99,"('rtable_category',)",['projection screens'],['computers accessories'],0,0,0.9937075,0.0062925913,2
30,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,plantronics,,2608.99,"('rtable_brand',)",['da-lite'],['plantronics'],0,0,0.9988896,0.0011103738,2
31,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,b230-m,2608.99,"('rtable_modelno',)",[nan],['b230-m'],0,0,0.99991286,8.712407e-05,2
32,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,,124.99,"('rtable_price',)",[2608.99],[124.99],0,0,0.6981766,0.3018234,2
33,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,record account book black red cover 144 pages,projection screens,da-lite,,2608.99,"('rtable_title',)",['da-plex base rear projection screen - 57 3 4 x 77 video format'],['record account book black red cover 144 pages'],0,0,0.99987364,0.00012632042,2
34,,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,da-plex base rear projection screen - 57 3 4 x 77 video format,printer accessories,da-lite,,2608.99,"('rtable_category',)",['projection screens'],['printer accessories'],0,0,0.9891166,0.010883426,2
