,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
62,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_phone')","[""` chinois on main '"", '310-392-9025']","[""` schatzi on main '"", '310/399 -4800']",1,0,0.06620358,0.9337964,2
33,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_phone')","[""` chinois on main '"", '310-392-9025']","[""` schatzi on main '"", '310/399 -4800']",1,0,0.06620358,0.9337964,2
34,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 3110 main,` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_addr', 'rtable_phone')","[""' 2709 main st. '"", '310-392-9025']","[""' 3110 main"", '310/399 -4800']",1,0,0.43554023,0.56445974,2
107,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 3110 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_addr', 'rtable_phone')","[""' 2709 main st. '"", '310-392-9025']","[""' 3110 main st. '"", '310/399 -4800']",1,0,0.30527046,0.6947295,2
106,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_phone')","[""` chinois on main '"", '310-392-9025']","[""` schatzi on main '"", '310/399 -4800']",1,0,0.06620356,0.9337964,2
69,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',',` santa monica ',310/399 -4800,` pacific new wave ',162,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 2709 main st. '"", '310-392-9025', 5]","[""'"", '310/399 -4800', 162]",1,0,0.20074719,0.7992528,3
70,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 2709 main st. ',` los angeles ',310/399 -4800,` pacific new wave ',162,"('rtable_city', 'rtable_phone', 'rtable_class')","[""` santa monica '"", '310-392-9025', 5]","[""` los angeles '"", '310/399 -4800', 162]",1,0,0.18292876,0.8170712,3
71,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 2709 main st. ',` santa monica ',310/399 -4800,continental,162,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['310-392-9025', ""` pacific new wave '"", 5]","['310/399 -4800', 'continental', 162]",1,0,0.45210323,0.54789674,3
42,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 2709 main st. ',` santa monica ',310/399 -4800,continental,162,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['310-392-9025', ""` pacific new wave '"", 5]","['310/399 -4800', 'continental', 162]",1,0,0.45210323,0.54789674,3
41,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 2709 main st. ',` los angeles ',310/399 -4800,` pacific new wave ',162,"('rtable_city', 'rtable_phone', 'rtable_class')","[""` santa monica '"", '310-392-9025', 5]","[""` los angeles '"", '310/399 -4800', 162]",1,0,0.18292876,0.8170712,3
67,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',',` los angeles ',310/399 -4800,` pacific new wave ',5,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 2709 main st. '"", ""` santa monica '"", '310-392-9025']","[""'"", ""` los angeles '"", '310/399 -4800']",1,0,0.47258756,0.5274124,3
39,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 3110 main,` los angeles ',310/399 -4800,` pacific new wave ',5,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 2709 main st. '"", ""` santa monica '"", '310-392-9025']","[""' 3110 main"", ""` los angeles '"", '310/399 -4800']",1,0,0.25341216,0.7465879,3
38,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',162,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` chinois on main '"", '310-392-9025', 5]","[""` schatzi on main '"", '310/399 -4800', 162]",1,0,0.076442726,0.9235573,3
37,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,continental,5,"('rtable_name', 'rtable_phone', 'rtable_res_type')","[""` chinois on main '"", '310-392-9025', ""` pacific new wave '""]","[""` schatzi on main '"", '310/399 -4800', 'continental']",1,0,0.2749554,0.7250446,3
36,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` los angeles ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` chinois on main '"", ""` santa monica '"", '310-392-9025']","[""` schatzi on main '"", ""` los angeles '"", '310/399 -4800']",1,0,0.03168693,0.96831304,3
35,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 3110 main,` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` chinois on main '"", ""' 2709 main st. '"", '310-392-9025']","[""` schatzi on main '"", ""' 3110 main"", '310/399 -4800']",1,0,0.01074412,0.9892559,3
65,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,continental,5,"('rtable_name', 'rtable_phone', 'rtable_res_type')","[""` chinois on main '"", '310-392-9025', ""` pacific new wave '""]","[""` schatzi on main '"", '310/399 -4800', 'continental']",1,0,0.27495536,0.7250446,3
64,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` los angeles ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` chinois on main '"", ""` santa monica '"", '310-392-9025']","[""` schatzi on main '"", ""` los angeles '"", '310/399 -4800']",1,0,0.03168693,0.96831304,3
63,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',',` santa monica ',310/399 -4800,` pacific new wave ',5,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` chinois on main '"", ""' 2709 main st. '"", '310-392-9025']","[""` schatzi on main '"", ""'"", '310/399 -4800']",1,0,0.081404544,0.91859543,3
68,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',',` santa monica ',310/399 -4800,continental,5,"('rtable_addr', 'rtable_phone', 'rtable_res_type')","[""' 2709 main st. '"", '310-392-9025', ""` pacific new wave '""]","[""'"", '310/399 -4800', 'continental']",1,0,0.39504206,0.60495794,3
40,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` chinois on main ',' 3110 main,` santa monica ',310/399 -4800,` pacific new wave ',162,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 2709 main st. '"", '310-392-9025', 5]","[""' 3110 main"", '310/399 -4800', 162]",1,0,0.19297512,0.8070249,3
66,,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,` schatzi on main ',' 2709 main st. ',` santa monica ',310/399 -4800,` pacific new wave ',162,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` chinois on main '"", '310-392-9025', 5]","[""` schatzi on main '"", '310/399 -4800', 162]",1,0,0.076442726,0.9235573,3
