,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.37533507,0.62466496,2
55,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,5.70 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '7.50 %']","['American Amber / Red Ale', '5.70 %']",0.29786915,0.7021308,2
29,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.37533507,0.62466496,2
30,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,6.80 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_ABV',)",['7.50 %'],['6.80 %'],0.27068132,0.7293187,2
31,Good Medicine Strong Red Ale,Ale Asylum,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Great Northern Brewing Co. / Black Star Draught House', 'American Amber / Red Ale']","['Ale Asylum', 'American Amber / Red Ale']",0.38687035,0.6131296,2
32,Good Medicine Strong Red Ale,Ale Asylum,American Amber / Red Ale,6.80 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Great Northern Brewing Co. / Black Star Draught House', '7.50 %']","['Ale Asylum', '6.80 %']",0.18551256,0.8144874,2
33,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,6.80 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '7.50 %']","['American Amber / Red Ale', '6.80 %']",0.27068132,0.7293187,2
35,Good Medicine Strong Red Ale,Lucid Brewing,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name',)",['Great Northern Brewing Co. / Black Star Draught House'],['Lucid Brewing'],0.3952188,0.6047812,2
36,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.37533507,0.62466496,2
37,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_ABV',)",['7.50 %'],['7.50 %'],0.37533507,0.62466496,2
38,Good Medicine Strong Red Ale,Lucid Brewing,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Great Northern Brewing Co. / Black Star Draught House', 'American Amber / Red Ale']","['Lucid Brewing', 'American Amber / Red Ale']",0.3952188,0.6047812,2
26,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,5.20 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '7.50 %']","['American Amber / Red Ale', '5.20 %']",0.27077046,0.72922957,2
39,Good Medicine Strong Red Ale,Lucid Brewing,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Great Northern Brewing Co. / Black Star Draught House', '7.50 %']","['Lucid Brewing', '7.50 %']",0.3952188,0.6047812,2
42,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.37533507,0.62466496,2
43,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,6.70 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_ABV',)",['7.50 %'],['6.70 %'],0.26124638,0.7387536,2
44,Good Medicine Strong Red Ale,Hops & Leisure,American Amber / Red Ale,6.70 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Great Northern Brewing Co. / Black Star Draught House', '7.50 %']","['Hops & Leisure', '6.70 %']",0.4051418,0.59485817,2
45,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,6.70 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '7.50 %']","['American Amber / Red Ale', '6.70 %']",0.26124638,0.7387536,2
49,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.37533507,0.62466496,2
