,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,memory,kingston,ktd-dm8400a / 1g,22.92,accell ultraav b101b-003b display port with vga active adapter,memory,kingston,ktd-ws667 / 8g,230.74,0
1,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,memory,kingston,ktd-dm8400a / 1g,2931.99,accell ultraav b101b-003b display port with vga active adapter,memory,kingston,ktd-ws667 / 8g,230.74,0
2,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,memory,kingston,ktd-dm8400a / 1g,2931.99,accell ultraav b101b-003b display port with vga active adapter,all-in-one printers,kingston,ktd-ws667 / 8g,230.74,1
3,srs labs analog rca volume leveler,memory,kingston,ktd-dm8400a / 1g,22.92,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,memory,evga,ktd-ws667 / 8g,230.74,0
4,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,kingston,ktd-dm8400a / 1g,22.92,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,memory,kingston,p-sdhc4g4-ef / navy,230.74,1
5,srs labs analog rca volume leveler,memory,kingston,ktd-dm8400a / 1g,22.92,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,memory,evga,ktd-ws667 / 8g,9.99,0
6,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,kingston,ktd-dm8400a / 1g,0.0,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,memory,kingston,p-sdhc4g4-ef / navy,230.74,1
7,srs labs analog rca volume leveler,memory,kingston,ktd-dm8400a / 1g,0.0,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,memory,evga,ktd-ws667 / 8g,9.99,0
8,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,kingston,ktd-dm8400a / 1g,0.0,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,memory,kingston,p-sdhc4g4-ef / navy,34.99,1
9,srs labs analog rca volume leveler,memory,antec,ktd-dm8400a / 1g,0.0,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,memory,evga,ktd-ws667 / 8g,9.99,0
