,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,sony red cyber-shot digital camera dscw170r,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",178.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,278.95,0
1,sony 9 ' digital photo frame in black dpfv900,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,steel 280 lb,289.95,0
2,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",139.0,canon pixma mx700 multifunction photo printer 2186b002,panasonic kx-tga670b additional handset for pankxtg6700b,nan,0
3,sony 9 ' digital photo frame in black dpfv900,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1079.96,0
4,canon pixma multifunction printer mx310,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",39.0,sony handycam dcr-sr85 digital camcorder dcrsr85,9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd,35.99,0
5,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,canon pixma mx700 multifunction photo printer 2186b002,panasonic kx-tga670b additional handset for pankxtg6700b,nan,0
6,sony 9 ' digital photo frame in black dpfv900,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,289.95,0
7,omnimount wall speaker mount 20wlbk,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,olympus neoprene soft camera case 202066,panasonic kx-tga670b additional handset for pankxtg6700b,nan,0
8,canon silver powershot digital camera sd880is,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1098.72,0
9,sony 9 ' digital photo frame in black dpfv900,panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b frequency hopping digital spread spectrum technology answering system with compatible base unit call waiting caller id join in/privacy 2-way intercom voice scramble black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1079.96,0
