,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.50 %,Arrow Point Amber,57 Brew Pub & Bistro,American Amber / Red Ale,5.50 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Imperial IPA,1
1,4.60 %,Arrow Point Amber,Portneuf Valley Brewing,American Barleywine,5.80 %,Bristol Old No. 23 Barley Wine,Sick N Twisted Brewing Company,Barley Wine,1
2,-,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,5.50 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,1
3,6.90 %,Sanibel Red Island Ale,Portneuf Valley Brewing,American Amber / Red Ale,5.90 %,Legends of the Bay Giant_s Tomb,Sick N Twisted Brewing Company,Amber Ale,1
4,7.75 %,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,5.50 %,Rude Hippo Honey Basil Amber,Mammoth Brewing Company,Amber Ale,1
5,6.10 %,Rocket City Red,Red Rock Brewing Company,American Amber / Red Ale,5.50 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,1
6,4.50 %,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Sick N Twisted Pleasure Victim Amber Ale,Sierra Andina,Amber Ale,0
7,-,Rocket City Red,Alexander Keith 's,American Barleywine,5.50 %,Deschutes Green Lakes Non-Organic Ale,Sick N Twisted Brewing Company,Amber Ale,0
8,-,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,5.50 %,Rude Hippo Honey Basil Amber,Mammoth Brewing Company,Amber Ale,0
9,5.50 %,Twisted Stick Amber Ale,The Pike Brewing Company,American Amber / Red Ale,5.50 %,Bainbridge Island Arrow Point Amber,Sick N Twisted Brewing Company,Amber Ale,1
