,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,verbatim,usb drives,nan,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
1,verbatim,usb drives,nan,11.98,uniden 1360bk desktop corded phone with caller id black,verbatim,usb flash drives,nan,10.98,pny 4gb class 4 navy sd card,1
2,verbatim,usb drives,nan,1609.99,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
3,verbatim,networking,nan,249.99,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
4,verbatim,usb drives,nan,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,switches,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
5,pny,hard drives,nan,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
6,zotac,usb drives,nan,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,griffin technology,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
7,verbatim,usb drives,nan,11.98,kodak esp 3250 all-in-one printer value bundle,verbatim,switches,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
8,pny,usb drives,nan,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
9,verbatim,usb drives,nan,11.98,uniden 1360bk desktop corded phone with caller id black,verbatim,usb flash drives,nan,10.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,1
