,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,cases sleeves,,,29.99,"('rtable_category',)",['computers accessories'],['cases sleeves'],0.030677602,0.9693224,2
97,san francisco 49ers camera case 19.99,hard drives,tribeca,97060,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_modelno')","['electronics - general', 'fva2773']","['hard drives', '97060']",0.008905447,0.9910945,2
96,san francisco 49ers camera case 19.99,hard drives,verbatim,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_brand')","['electronics - general', 'tribeca']","['hard drives', 'verbatim']",0.018303059,0.9816969,2
95,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_price',)",[nan],[nan],0.05723832,0.9427617,2
94,san francisco 49ers camera case 19.99,electronics - general,tribeca,97060,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno',)",['fva2773'],['97060'],0.057238467,0.9427615,2
93,san francisco 49ers camera case 19.99,electronics - general,verbatim,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand',)",['tribeca'],['verbatim'],0.3542568,0.6457432,2
92,san francisco 49ers camera case 19.99,hard drives,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category',)",['electronics - general'],['hard drives'],0.008905447,0.9910945,2
162,genius sp-s105 stereo speakers portable audio genius,electronics - general,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title',)",['san francisco 49ers camera case 19.99'],['genius sp-s105 stereo speakers portable audio genius'],0.18104333,0.8189566,2
163,san francisco 49ers camera case 19.99,,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category',)",['electronics - general'],[nan],0.030866524,0.96913344,2
164,san francisco 49ers camera case 19.99,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand',)",['tribeca'],[nan],0.04784381,0.9521561,2
86,san francisco 49ers camera case 19.99,electronics - general,tribeca,,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno', 'ltable_price')","['fva2773', nan]","[nan, nan]",0.0386018,0.9613982,2
85,san francisco 49ers camera case 19.99,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand', 'ltable_price')","['tribeca', nan]","[nan, nan]",0.04784381,0.9521561,2
84,san francisco 49ers camera case 19.99,electronics - general,,,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand', 'ltable_modelno')","['tribeca', 'fva2773']","[nan, nan]",0.03905255,0.96094745,2
83,san francisco 49ers camera case 19.99,,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_price')","['electronics - general', nan]","[nan, nan]",0.030866524,0.96913344,2
82,san francisco 49ers camera case 19.99,,tribeca,,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_modelno')","['electronics - general', 'fva2773']","[nan, nan]",0.018541219,0.98145884,2
81,san francisco 49ers camera case 19.99,,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_brand')","['electronics - general', 'tribeca']","[nan, nan]",0.07715124,0.9228488,2
80,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_price',)",[nan],[nan],0.05723832,0.9427617,2
79,san francisco 49ers camera case 19.99,electronics - general,tribeca,,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno',)",['fva2773'],[nan],0.0386018,0.9613982,2
78,san francisco 49ers camera case 19.99,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand',)",['tribeca'],[nan],0.047843955,0.95215607,2
77,san francisco 49ers camera case 19.99,,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category',)",['electronics - general'],[nan],0.030866582,0.96913344,2
165,san francisco 49ers camera case 19.99,electronics - general,tribeca,31730940101,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno',)",['fva2773'],['31730940101'],0.05723832,0.9427617,2
166,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,9.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_price',)",[nan],[9.99],0.09911484,0.9008851,2
167,genius sp-s105 stereo speakers portable audio genius,,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title', 'ltable_category')","['san francisco 49ers camera case 19.99', 'electronics - general']","['genius sp-s105 stereo speakers portable audio genius', nan]",0.22167733,0.7783227,2
168,genius sp-s105 stereo speakers portable audio genius,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title', 'ltable_brand')","['san francisco 49ers camera case 19.99', 'tribeca']","['genius sp-s105 stereo speakers portable audio genius', nan]",0.14441586,0.85558414,2
169,genius sp-s105 stereo speakers portable audio genius,electronics - general,tribeca,31730940101,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title', 'ltable_modelno')","['san francisco 49ers camera case 19.99', 'fva2773']","['genius sp-s105 stereo speakers portable audio genius', '31730940101']",0.18104349,0.81895655,2
170,genius sp-s105 stereo speakers portable audio genius,electronics - general,tribeca,fva2773,9.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title', 'ltable_price')","['san francisco 49ers camera case 19.99', nan]","['genius sp-s105 stereo speakers portable audio genius', 9.99]",0.32974175,0.6702583,2
171,san francisco 49ers camera case 19.99,,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_brand')","['electronics - general', 'tribeca']","[nan, nan]",0.07715124,0.9228488,2
172,san francisco 49ers camera case 19.99,,tribeca,31730940101,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_modelno')","['electronics - general', 'fva2773']","[nan, '31730940101']",0.030866524,0.96913344,2
142,san francisco 49ers camera case 19.99,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand',)",['tribeca'],[nan],0.04784381,0.9521561,2
174,san francisco 49ers camera case 19.99,electronics - general,,31730940101,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand', 'ltable_modelno')","['tribeca', 'fva2773']","[nan, '31730940101']",0.04784381,0.9521561,2
98,san francisco 49ers camera case 19.99,hard drives,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_category', 'ltable_price')","['electronics - general', nan]","['hard drives', nan]",0.008905447,0.9910945,2
175,san francisco 49ers camera case 19.99,electronics - general,,fva2773,9.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand', 'ltable_price')","['tribeca', nan]","[nan, 9.99]",0.13524602,0.86475396,2
99,san francisco 49ers camera case 19.99,electronics - general,verbatim,97060,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_brand', 'ltable_modelno')","['tribeca', 'fva2773']","['verbatim', '97060']",0.35425603,0.64574397,2
101,san francisco 49ers camera case 19.99,electronics - general,tribeca,97060,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno', 'ltable_price')","['fva2773', nan]","['97060', nan]",0.05723832,0.9427617,2
143,san francisco 49ers camera case 19.99,electronics - general,tribeca,,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno',)",['fva2773'],[nan],0.0386018,0.9613982,2
144,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_price',)",[nan],[nan],0.05723832,0.9427617,2
145,pioneer 10 subwoofer with single voice coil 350w car stereos pioneer ts-w259s4 113.0,electronics - general,,fva2773,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_title', 'ltable_brand')","['san francisco 49ers camera case 19.99', 'tribeca']","['pioneer 10 subwoofer with single voice coil 350w car stereos pioneer ts-w259s4 113.0', nan]",0.44806647,0.5519335,2
131,san francisco 49ers camera case 19.99,electronics - general,tribeca,32070,,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,"('ltable_modelno', 'ltable_price')","['fva2773', nan]","['32070', nan]",0.05723832,0.9427617,2
