,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,quickbooks pro 2007 3 user,0
1,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,topics entertainment instant immersion ingles audio deluxe,0
2,nolo press,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,apple apple mac os x server 10 4 7 10 client,0
3,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,apple software m9372z/a final cut express 2.0 upgrade,0
4,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,diskeeper 2007 professional,0
5,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,microsoft ( r ) money 2007 premium,0
6,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
7,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,adobe illustrator cs3 ( mac ),0
8,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,499.0,adobe photoshop elements 4.0 photo-editing software for mac,0
9,apple,999.0,mac os x server v10 .4.7 unlimited client,nan,28.5,apple apple mac os x server 10 4 7 10 client,0
