,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
21,,digital camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['digital camcorder dcrsr85'],1,0,0.052360825,0.94763917,2
20,,linksys,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['linksys', nan]",1,0,0.24815847,0.75184155,2
41,,sony handycam dcr-sr85 digital,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,375.8,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['sony handycam dcr-sr85 digital', 375.8]",1,0,0.037907206,0.96209276,2
22,,digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['digital camcorder dcrsr85', ""16:9 2.7 ' hybrid lcd""]",1,0,0.49704084,0.50295913,2
23,,digital camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,375.8,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['digital camcorder dcrsr85', 375.8]",1,0,0.05151008,0.9484899,2
37,,sony handycam dcr-sr85 digital camcorder,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,375.8,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['sony handycam dcr-sr85 digital camcorder', 375.8]",1,0,0.042895146,0.95710486,2
25,,dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['dcrsr85'],1,0,0.0557166,0.9442834,2
19,,linksys,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['linksys'],1,0,0.18273665,0.8172633,2
26,,dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,375.8,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['dcrsr85', 375.8]",1,0,0.1050827,0.89491737,2
28,,dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['dcr-sr85 digital camcorder dcrsr85', ""16:9 2.7 ' hybrid lcd""]",1,0,0.11333263,0.8866673,2
29,,dcr-sr85 digital camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,375.8,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['dcr-sr85 digital camcorder dcrsr85', 375.8]",1,0,0.04398427,0.95601577,2
36,,sony handycam dcr-sr85 digital camcorder,16:9 2.7 ' hybrid lcd,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['sony handycam dcr-sr85 digital camcorder', ""16:9 2.7 ' hybrid lcd""]",1,0,0.3227426,0.6772574,2
31,,sony 60gb handycam hard disk drive camcorder dcrsr85,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony 60gb handycam hard disk drive camcorder dcrsr85'],1,0,0.044037152,0.9559628,2
