,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 3555 las vegas blvd. s ',atlanta,70.0,` bugsy \ 's diner ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
1,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bugsy \ 's diner ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',atlanta,70.0,` spago ( los angeles ) ',404-240-1984,` french ( new ) ',1
2,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bugsy \ 's diner ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',404-240-1984,` french ( new ) ',1
3,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bertolini \ 's ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,chicken,1
4,' 3555 las vegas blvd. s ',` las vegas ',70.0,` island spice ',310/276 -1886,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` michael \ 's ( las vegas ) ',702-731-7110,` french ( new ) ',1
5,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bugsy \ 's diner ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
6,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bertolini \ 's ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
7,' 3555 las vegas blvd. s ',atlanta,162.0,` bugsy \ 's diner ',212/682 -8660,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',74.0,` palace court ',702-731-7110,` french ( new ) ',1
8,' 3555 las vegas blvd. s ',` las vegas ',70.0,` island spice ',310/276 -1886,` coffee shops/diners ',' 3570 las vegas blvd. s. ',` las vegas ',70.0,` palace court ',702-731-7110,` french ( new ) ',1
9,' 3555 las vegas blvd. s ',` las vegas ',70.0,` bugsy \ 's diner ',702/733 -3111,` coffee shops/diners ',' 3570 las vegas blvd. s. ',atlanta,70.0,` palace court ',404-240-1984,` french ( new ) ',1
