,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,uniden d1680 dect 6.0 with caller id and call waiting,digital cameras,uniden,d1680,33.84,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,cordless telephones,griffin technology,nan,24.09,0
1,srs labs analog rca volume leveler,electronics - general,uniden,d1680,4612.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,printer accessories,uniden,nan,24.09,0
2,srs labs analog rca volume leveler,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,computers accessories,uniden,512-p3-1301-kr,24.09,0
3,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,apc,512p31310lr,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,evga,23056,24.09,0
4,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,clickfree,d1680,14.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,car audio video,uniden,bv8966b,24.09,0
5,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,batteries chargers accessories,accell,nan,119.88,1
6,samsung s2 640gb usb 3.0 portable external hard drive red,car stereos,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,nan,nan,1
7,samsung s2 640gb usb 3.0 portable external hard drive red,car stereos,uniden,resl422b-e,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,elite,nan,nan,1
8,srs labs analog rca volume leveler,tv accessories,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,nan,24.09,0
9,samsung s2 640gb usb 3.0 portable external hard drive red,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,batteries chargers accessories,uniden,nan,119.88,1
