,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,adobe indesign cs3 upgrade from pagemaker,adobe,99.95,adobe contribute cs3 upgrade,nan,82.99,1
1,adobe indesign cs3 upgrade from pagemaker,final draft,259.95,adobe contribute cs3 upgrade,nan,82.99,1
2,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,82.99,1
3,adobe indesign cs3 upgrade from pagemaker,adobe,630.36,adobe contribute cs3 upgrade,nan,82.99,1
4,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe contribute cs3 upgrade,sibelius-software-ltd .,17.55,1
5,microsoft powerpoint 2004 ( mac ),adobe,199.0,adobe contribute cs3 upgrade,nan,45.97,1
6,acrobat professional 8 ( windows ),adobe,199.0,adobe contribute cs3 upgrade,nan,47.36,1
7,adobe indesign cs3 upgrade from pagemaker,sony-pictures-digital-entertainment,199.0,adobe contribute cs3 upgrade,riverdeep-learning-company,82.99,1
8,apple final cut studio 2 ( mac ),adobe,199.0,microsoft microsoft office 2004 software suite mac apple & mac software,nan,82.99,1
9,adobe indesign cs3 upgrade from pagemaker,topics entertainment,99.0,adobe contribute cs3 upgrade,nan,82.99,1
