,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"malcolm p. atkinson , ronald morrison",automated selection of materialized views and indexes in sql databases,sigmod record,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,2000.0,0
1,"kinji ono , jihad boulos",automated selection of materialized views and indexes in sql databases,acm trans . database syst .,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,2000.0,0
2,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",rate-based query optimization for streaming information sources,vldb,1996.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,2000.0,0
3,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",one-dimensional and multi-dimensional substring selectivity estimation,vldb,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",coss : the common object services specifications,very large data bases,2000.0,0
4,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,vldb,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,1995.0,0
5,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,vldb,2000.0,"alexander hinneburg , daniel a. keim , markus wawryniuk",automated selection of materialized views and indexes in sql databases,very large data bases,2000.0,1
6,"mike p. papazoglou , bernd j. krämer",automated selection of materialized views and indexes in sql databases,vldb,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,2001.0,0
7,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,vldb,2000.0,"junghwan oh , kien a. hua",on supporting containment queries in relational database management systems,very large data bases,2000.0,0
8,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",selectivity estimation in extensible databases - a neural network approach,sigmod conference,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,very large data bases,2000.0,0
9,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya",automated selection of materialized views and indexes in sql databases,vldb,2000.0,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",coss : the common object services specifications,acm sigmod record,2000.0,0
