,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,apple,79.99,apple final cut studio 2 ( mac ),apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
1,apple,79.95,halo ( mac ),apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
2,apple,29.99,microsoft onenote 2007 upgrade,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
3,apple,49.99,quicken 2007 basic,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
4,apple,499.99,punch ! home design architectura series 18,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
5,apple,229.99,apple final cut studio 2 ( mac ),apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
6,apple,79.95,apple final cut studio 2 ( mac ),apple software,99.95,apple software m9372z/a final cut express 2.0 upgrade,1
7,apple,229.99,halo ( mac ),apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,1
8,apple,49.99,apple final cut studio 2 ( mac ),apple software,17.9,apple software m9372z/a final cut express 2.0 upgrade,1
9,apple,49.99,apple final cut studio 2 ( mac ),apple software,79.99,phantom efx reel deal casino shuffle master edition,1
