,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,belkin 10.2 netbook neoprene sleeve - black belkin,usb drives,nan,sf16n4/tqp,nan,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply batteries chargers accessories apc,nan,nan,nan,nan,0
1,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,usb drives,nan,sf16n4/tqp,nan,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,nan,nan,nan,nan,0
2,sony 16gb class 4 sd memory card sony 0.0,usb drives,nan,sf16n4/tqp,56.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,nan,nan,nan,nan,0
3,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,usb drives,nan,74109,nan,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,nan,nan,nan,nan,0
4,sony 16gb class 4 sd memory card sony 0.0,usb drives,nan,sf16n4/tqp,nan,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply batteries chargers accessories apc,nan,nan,q3675a,nan,0
5,belkin 10.2 netbook neoprene sleeve - black belkin,usb drives,nan,sf16n4/tqp,nan,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,nan,nan,nan,230.74,0
6,sony 16gb class 4 sd memory card sony 0.0,usb drives,nan,sf16n4/tqp,nan,nvidia geforce 310 dms59 pcie16 512mb 2port vga dvi graphics card 57y4167,nan,nan,bv8966b,nan,0
7,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,usb drives,nan,sf16n4/tqp,nan,evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr,nan,nan,nan,nan,0
8,sony 16gb class 4 sd memory card sony 0.0,usb drives,nan,sf16n4/tqp,nan,icon-icon4-blk neoprene notebook sleeve black motion systems 9.99,scanners,nan,nan,nan,0
9,ifrogz ipod touch 4 luxe lean case white ifrogz it4ll-wht 24.99,usb drives,nan,sf16n4/tqp,nan,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,nan,nan,nan,nan,0
