,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,canon pixma multifunction printer mx310,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
1,omnimount wall speaker mount 20wlbk,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
2,olympus premium slim leather case in black 202087,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,"1 x phone line ( s ) black , metallic",375.8,0
3,canon pixma multifunction printer mx310,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,69.0,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
4,canon pixma multifunction printer mx310,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
5,olympus premium slim leather case in black 202087,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
6,omnimount wall speaker mount 20wlbk,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,35.99,0
7,canon pixma multifunction printer mx310,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,1 x phone line ( s ) headset jack silver,375.8,0
8,olympus premium slim leather case in black 202087,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh 7.3 cu . ft. capacity intelligent electronic controls with dual led display and dial-a-cycle dual humidity sensors precise temperature control with a variable heater 4 way venting drum light white finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,0
9,olympus premium slim leather case in black 202087,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,27.92,0
