,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,sony high definition hdv handycam camcorder hdrhc9,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony high definition hdv handycam camcorder hdrhc9'],0.4058577,0.59414226,2
1,sony high definition hdv handycam camcorder hdrhc9,sony high definition hdv handycam camcorder hdrhc9 10x optical/20x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display switchable hdv/dv format recording active interface shoe built-in intelligent flash progressive shutter system super nightshot infrared system x.v. color technology,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['sony high definition hdv handycam camcorder hdrhc9', ""sony high definition hdv handycam camcorder hdrhc9 10x optical/20x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display switchable hdv/dv format recording active interface shoe built-in intelligent flash progressive shutter system super nightshot infrared system x.v. color technology""]",0.46291542,0.5370846,2
2,sony high definition hdv handycam camcorder hdrhc9,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['sony high definition hdv handycam camcorder hdrhc9', nan]",0.4058577,0.59414226,2
4,sony 30gb handycam hard disk drive camcorder dcrsr45,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony 30gb handycam hard disk drive camcorder dcrsr45'],0.08190236,0.9180977,2
5,sony 30gb handycam hard disk drive camcorder dcrsr45,sony 30gb handycam hard disk drive camcorder dcrsr45 1/8 ' advanced had ccd imager 40x optical/2000x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display hybrid recording to hard disk drive or memory stick media built-in zoom microphone with 5.1 ch recording carl zeiss vario-tessar lens usb 2.0 interface super nightshot infrared system,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['sony 30gb handycam hard disk drive camcorder dcrsr45', ""sony 30gb handycam hard disk drive camcorder dcrsr45 1/8 ' advanced had ccd imager 40x optical/2000x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display hybrid recording to hard disk drive or memory stick media built-in zoom microphone with 5.1 ch recording carl zeiss vario-tessar lens usb 2.0 interface super nightshot infrared system""]",0.08604254,0.9139575,2
6,sony 30gb handycam hard disk drive camcorder dcrsr45,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['sony 30gb handycam hard disk drive camcorder dcrsr45', nan]",0.08190236,0.9180977,2
8,sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004'],0.21073638,0.7892636,2
9,sony cyber-shot black digital camera dsch10b,"sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004 play games , watch movies on umd discs , and listen to music all in one device 4.3 ' lcd screen ( 16:9 ) 480 x 272 pixel wi-fi ( ieee 802.11 b ) for wireless networking with other psp owners memory stick pro duo 333mhz system clock frequency piano black finish",,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_description',)","[""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","[""sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004 play games , watch movies on umd discs , and listen to music all in one device 4.3 ' lcd screen ( 16:9 ) 480 x 272 pixel wi-fi ( ieee 802.11 b ) for wireless networking with other psp owners memory stick pro duo 333mhz system clock frequency piano black finish""]",0.4509542,0.54904586,2
10,sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004,"sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004 play games , watch movies on umd discs , and listen to music all in one device 4.3 ' lcd screen ( 16:9 ) 480 x 272 pixel wi-fi ( ieee 802.11 b ) for wireless networking with other psp owners memory stick pro duo 333mhz system clock frequency piano black finish",,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_description')","['sony cyber-shot black digital camera dsch10b', ""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish""]","['sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004', ""sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004 play games , watch movies on umd discs , and listen to music all in one device 4.3 ' lcd screen ( 16:9 ) 480 x 272 pixel wi-fi ( ieee 802.11 b ) for wireless networking with other psp owners memory stick pro duo 333mhz system clock frequency piano black finish""]",0.03813218,0.9618678,2
11,sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,185.0,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name', 'ltable_price')","['sony cyber-shot black digital camera dsch10b', nan]","['sony psp 2000 playstation portable gaming system core 98510 in piano black 711719851004', 185.0]",0.21775049,0.78224957,2
