,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"i gutman , sj cyvin",,,"('rtable_authors',)",['hwc zaniolo'],"['i gutman , sj cyvin']",0.237336,0.762664,2
33,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"ns bucklew , dj smith",,,"('rtable_authors', 'rtable_year')","['hwc zaniolo', nan]","['ns bucklew , dj smith', nan]",0.19632715,0.80367285,2
32,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"ns bucklew , dj smith","new directions for higher education ,",,"('rtable_authors', 'rtable_venue')","['hwc zaniolo', nan]","['ns bucklew , dj smith', 'new directions for higher education ,']",0.007760624,0.99223936,2
31,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,hwc zaniolo,"new directions for higher education ,",,"('rtable_venue',)",[nan],"['new directions for higher education ,']",0.10791735,0.89208263,2
30,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"ns bucklew , dj smith",,,"('rtable_authors',)",['hwc zaniolo'],"['ns bucklew , dj smith']",0.19632715,0.80367285,2
26,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"m ikehata , g nakamura",,,"('rtable_authors', 'rtable_year')","['hwc zaniolo', nan]","['m ikehata , g nakamura', nan]",0.005250601,0.99474937,2
25,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"m ikehata , g nakamura",submitted for,,"('rtable_authors', 'rtable_venue')","['hwc zaniolo', nan]","['m ikehata , g nakamura', 'submitted for']",0.009062686,0.9909373,2
24,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"m ikehata , g nakamura",,,"('rtable_authors',)",['hwc zaniolo'],"['m ikehata , g nakamura']",0.005250601,0.99474937,2
18,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,"i pratt , n francez",,,"('rtable_authors', 'rtable_year')","['hwc zaniolo', nan]","['i pratt , n francez', nan]",0.0040959343,0.99590415,2
34,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,using sql to build new aggregates and extenders for object-relational systems,hwc zaniolo,"new directions for higher education ,",,"('rtable_venue', 'rtable_year')","[nan, nan]","['new directions for higher education ,', nan]",0.10791735,0.89208263,2
